"Truth","pairs","Protein1","Protein2"
"negative","Q9CPZ6-Q61335","Q61335","Q9CPZ6"
"negative","Q9WU03-Q6J9G1","Q6J9G1","Q9WU03"
"negative","Q8CHK3-Q6P1H6","Q6P1H6","Q8CHK3"
"negative","Q8C7E7-Q8BXZ1","Q8BXZ1","Q8C7E7"
"negative","P63141-P35436","P35436","P63141"
"negative","Q6VNS1-O35405","O35405","Q6VNS1"
"negative","Q791T5-P62812","P62812","Q791T5"
"negative","Q9QUM4-Q80XR2","Q80XR2","Q9QUM4"
"negative","Q3UVK0-Q01815","Q01815","Q3UVK0"
"positive","Q8BHI7-O70472","Q8BHI7","O70472"
"negative","Q80XL7-B1AUH1","B1AUH1","Q80XL7"
"negative","Q8BYI6-Q6J9G1","Q6J9G1","Q8BYI6"
"negative","Q8CGF5-Q03146","Q03146","Q8CGF5"
"negative","Q9Z1P5-Q64729","Q64729","Q9Z1P5"
"negative","Q8R493-O55022","O55022","Q8R493"
"negative","Q9D162-P56393","P56393","Q9D162"
"negative","P28843-O89051","O89051","P28843"
"negative","Q8VEM1-P41593","P41593","Q8VEM1"
"negative","Q9CZW5-Q07113","Q07113","Q9CZW5"
"positive","Q3UJU9-Q3U9G9","Q3UJU9","Q3U9G9"
"negative","Q9Z2C6-Q8BK08","Q8BK08","Q9Z2C6"
"negative","Q99LI2-P55850","P55850","Q99LI2"
"negative","Q9QY81-Q8BGJ0","Q8BGJ0","Q9QY81"
"negative","Q640L3-Q3U1N2","Q3U1N2","Q640L3"
"negative","Q8C838-Q497J1","Q497J1","Q8C838"
"negative","Q9EQN9-P35546","P35546","Q9EQN9"
"negative","Q9D771-O70228","O70228","Q9D771"
"negative","Q9ET80-Q8R087","Q8R087","Q9ET80"
"negative","Q9CR33-Q921T2","Q921T2","Q9CR33"
"positive","O08532-A2AF53","O08532","A2AF53"
"negative","Q921T2-G5E829","G5E829","Q921T2"
"positive","Q9CQV4-P63024","Q9CQV4","P63024"
"negative","P28843-P19783","P19783","P28843"
"negative","Q9QYI4-Q9D164","Q9D164","Q9QYI4"
"negative","Q9QYE5-Q9CPV9","Q9CPV9","Q9QYE5"
"negative","Q8R2N1-P97449","P97449","Q8R2N1"
"negative","Q9DCC8-Q8BGT9","Q8BGT9","Q9DCC8"
"negative","Q9DBU0-Q8R2Y3","Q8R2Y3","Q9DBU0"
"negative","Q9CXT7-O35526","O35526","Q9CXT7"
"negative","Q9DCZ4-Q9D6K5","Q9D6K5","Q9DCZ4"
"negative","Q9CQ92-Q8K2Y3","Q8K2Y3","Q9CQ92"
"negative","Q99JP7-Q80UU9","Q80UU9","Q99JP7"
"negative","Q9CPQ1-Q8C129","Q8C129","Q9CPQ1"
"negative","Q3UDR8-A2ARI4","A2ARI4","Q3UDR8"
"positive","Q3U2S8-P41731","Q3U2S8","P41731"
"negative","Q3TA38-O35598","O35598","Q3TA38"
"negative","P59268-P09925","P09925","P59268"
"negative","P83093-B2RXV4","B2RXV4","P83093"
"negative","Q9D3B1-Q99JG2","Q99JG2","Q9D3B1"
"negative","Q9Z1P5-Q99JH8","Q99JH8","Q9Z1P5"
"negative","Q8CAQ8-Q80XL7","Q80XL7","Q8CAQ8"
"negative","Q9JJ06-Q09143","Q09143","Q9JJ06"
"negative","Q9DC16-Q01237","Q01237","Q9DC16"
"negative","Q91XC9-P62812","P62812","Q91XC9"
"negative","Q80WG5-P00397","P00397","Q80WG5"
"negative","Q9Z1P5-A6X919","A6X919","Q9Z1P5"
"negative","Q60720-P48962","P48962","Q60720"
"negative","Q8K1G2-Q3UJU9","Q3UJU9","Q8K1G2"
"negative","Q9DC60-Q6P5F7","Q6P5F7","Q9DC60"
"negative","Q8VD00-B2RXV4","B2RXV4","Q8VD00"
"negative","Q8BJ03-P47936","P47936","Q8BJ03"
"negative","Q9D3B1-Q6NZQ8","Q6NZQ8","Q9D3B1"
"negative","Q8VCR3-Q8BMD8","Q8BMD8","Q8VCR3"
"negative","Q9CQ88-P97441","P97441","Q9CQ88"
"negative","Q8BG16-Q60931","Q60931","Q8BG16"
"negative","Q8BK08-O35405","O35405","Q8BK08"
"negative","Q9CZB9-Q9CQX5","Q9CQX5","Q9CZB9"
"negative","Q9CQH3-O55143","O55143","Q9CQH3"
"negative","Q99L43-O89051","O89051","Q99L43"
"negative","Q8BTZ5-A2ARI4","A2ARI4","Q8BTZ5"
"negative","Q8JZU2-P61166","P61166","Q8JZU2"
"negative","Q8BWY7-O70579","O70579","Q8BWY7"
"negative","Q8VI59-Q8R092","Q8R092","Q8VI59"
"negative","Q9JKN1-Q9CQC7","Q9CQC7","Q9JKN1"
"negative","Q80Z96-P70245","P70245","Q80Z96"
"negative","Q9JJ06-Q497J1","Q497J1","Q9JJ06"
"negative","Q8K1E0-P48771","P48771","Q8K1E0"
"negative","Q9D6G9-Q5SWZ9","Q5SWZ9","Q9D6G9"
"negative","Q9CQY5-Q64310","Q64310","Q9CQY5"
"negative","Q9ES97-O55101","O55101","Q9ES97"
"negative","Q9CR62-Q8BJM5","Q8BJM5","Q9CR62"
"negative","Q9D6I7-Q6J9G1","Q6J9G1","Q9D6I7"
"negative","Q8R087-Q63961","Q63961","Q8R087"
"positive","Q8K0C4-A2ARI4","Q8K0C4","A2ARI4"
"negative","Q9DC16-P52800","P52800","Q9DC16"
"negative","Q9CZW4-Q8VCK6","Q8VCK6","Q9CZW4"
"negative","Q6P9J9-Q60932","Q60932","Q6P9J9"
"negative","Q9DBU0-Q6P1H6","Q6P1H6","Q9DBU0"
"negative","Q8BU14-P19783","P19783","Q8BU14"
"negative","Q8VHE0-P97363","P97363","Q8VHE0"
"negative","Q8C838-P47740","P47740","Q8C838"
"negative","Q9ET38-P16390","P16390","Q9ET38"
"negative","Q9JKN1-Q9D3A9","Q9D3A9","Q9JKN1"
"negative","Q8K0C4-P17809","P17809","Q8K0C4"
"negative","Q923W9-Q8BKG3","Q8BKG3","Q923W9"
"positive","Q14BI2-P10852","Q14BI2","P10852"
"negative","Q9R0K7-Q4VAE3","Q4VAE3","Q9R0K7"
"negative","Q3UVK0-P15261","P15261","Q3UVK0"
"negative","Q8BFZ9-P00158","P00158","Q8BFZ9"
"negative","Q9CPV0-Q8K3P1","Q8K3P1","Q9CPV0"
"negative","P35546-O08530","O08530","P35546"
"negative","Q9D7B7-Q9CQ56","Q9CQ56","Q9D7B7"
"negative","Q9CQ92-Q5NC32","Q5NC32","Q9CQ92"
"negative","O88455-O08581","O08581","O88455"
"negative","Q9CPQ1-P61014","P61014","Q9CPQ1"
"positive","Q9DBG6-P63024","Q9DBG6","P63024"
"positive","Q3TZM9-P35803","Q3TZM9","P35803"
"negative","Q9CQY5-Q8BXR1","Q8BXR1","Q9CQY5"
"positive","Q8VCM5-Q8BHK2","Q8VCM5","Q8BHK2"
"negative","Q9D0V7-Q8VCA5","Q8VCA5","Q9D0V7"
"negative","Q8C407-Q6P4S8","Q6P4S8","Q8C407"
"negative","Q8VDP6-Q5IRJ6","Q5IRJ6","Q8VDP6"
"negative","Q9CYN9-P04756","P04756","Q9CYN9"
"positive","Q8VCA6-P17809","Q8VCA6","P17809"
"positive","Q9JLL0-Q80WJ7","Q9JLL0","Q80WJ7"
"positive","Q9JKW0-Q9EPS3","Q9JKW0","Q9EPS3"
"positive","Q99LJ8-Q8BW93","Q99LJ8","Q8BW93"
"negative","Q925U4-O55003","O55003","Q925U4"
"positive","Q9D1D4-P47936","Q9D1D4","P47936"
"negative","Q61735-P58021","P58021","Q61735"
"negative","Q9CYN2-Q8R092","Q8R092","Q9CYN2"
"negative","Q91V01-Q8BN21","Q8BN21","Q91V01"
"negative","Q9DCI3-Q9DCC8","Q9DCC8","Q9DCI3"
"negative","Q9D3A9-Q6TEK5","Q6TEK5","Q9D3A9"
"negative","Q9JJ06-Q8BUY5","Q8BUY5","Q9JJ06"
"negative","Q9CY24-Q9CR89","Q9CR89","Q9CY24"
"positive","Q8BLF1-Q3U284","Q8BLF1","Q3U284"
"negative","Q9CPQ1-P36371","P36371","Q9CPQ1"
"negative","Q91VC9-P55850","P55850","Q91VC9"
"negative","Q8BJ83-Q61712","Q61712","Q8BJ83"
"negative","Q9CTG6-Q6J9G1","Q6J9G1","Q9CTG6"
"negative","Q9CXT7-Q8VCM8","Q8VCM8","Q9CXT7"
"negative","Q921I0-Q6PHU5","Q6PHU5","Q921I0"
"negative","Q922P8-P21958","P21958","Q922P8"
"negative","Q78T54-P97793","P97793","Q78T54"
"negative","Q9DBP0-P56400","P56400","Q9DBP0"
"negative","Q6DVA0-P35436","P35436","Q6DVA0"
"positive","Q6P9J9-Q61335","Q6P9J9","Q61335"
"negative","Q8BG07-Q3UMR5","Q3UMR5","Q8BG07"
"negative","Q9CYN2-Q8K0D7","Q8K0D7","Q9CYN2"
"negative","Q921Y4-Q8C025","Q8C025","Q921Y4"
"negative","Q61735-P59268","P59268","Q61735"
"negative","Q9Z127-E9PUL5","E9PUL5","Q9Z127"
"negative","O70228-G5E829","G5E829","O70228"
"negative","Q9ET38-Q8BXA5","Q8BXA5","Q9ET38"
"negative","Q9D517-Q9CR67","Q9CR67","Q9D517"
"negative","P04756-O35659","O35659","P04756"
"negative","Q8C3K5-Q6PA06","Q6PA06","Q8C3K5"
"negative","Q9D6U8-Q3U284","Q3U284","Q9D6U8"
"negative","Q9D162-P17665","P17665","Q9D162"
"negative","P54830-P25118","P25118","P54830"
"positive","Q9Z1P5-O88324","Q9Z1P5","O88324"
"negative","Q62351-O54734","O54734","Q62351"
"negative","O70503-O35114","O35114","O70503"
"negative","Q9JJK5-Q9CQH0","Q9CQH0","Q9JJK5"
"positive","Q9JIM1-Q9DB43","Q9JIM1","Q9DB43"
"negative","Q9WUQ2-Q9CQH0","Q9CQH0","Q9WUQ2"
"negative","P11688-O08705","O08705","P11688"
"negative","Q9CZW5-Q80TI0","Q80TI0","Q9CZW5"
"negative","Q791T5-P55284","P55284","Q791T5"
"positive","Q9CYN9-Q8VD00","Q9CYN9","Q8VD00"
"negative","Q8K1E0-Q64487","Q64487","Q8K1E0"
"negative","Q91VK4-Q03146","Q03146","Q91VK4"
"negative","Q9QY73-P70423","P70423","Q9QY73"
"positive","Q9Z261-Q8VD00","Q9Z261","Q8VD00"
"negative","Q9EQC1-Q8JZU2","Q8JZU2","Q9EQC1"
"negative","Q9WTS2-P15530","P15530","Q9WTS2"
"negative","Q62186-P70452","P70452","Q62186"
"negative","Q8R1V4-P70387","P70387","Q8R1V4"
"negative","Q9Z2G6-Q3UN04","Q3UN04","Q9Z2G6"
"negative","Q8R1L4-Q8R0W6","Q8R0W6","Q8R1L4"
"negative","Q9D162-Q8BFW9","Q8BFW9","Q9D162"
"negative","Q9CUS9-O88630","O88630","Q9CUS9"
"negative","Q80TN5-P04756","P04756","Q80TN5"
"negative","Q9DCZ4-P55096","P55096","Q9DCZ4"
"negative","Q9Z0U0-O35683","O35683","Q9Z0U0"
"negative","Q9DBP0-Q91ZD4","Q91ZD4","Q9DBP0"
"negative","Q925U4-Q8BHI7","Q8BHI7","Q925U4"
"negative","Q01815-F7BWT7","F7BWT7","Q01815"
"negative","Q6Q477-P55086","P55086","Q6Q477"
"negative","Q8R5J9-P60202","P60202","Q8R5J9"
"negative","Q9EQC1-Q923Z0","Q923Z0","Q9EQC1"
"negative","Q8BXV2-Q07113","Q07113","Q8BXV2"
"negative","Q8BNI4-P97449","P97449","Q8BNI4"
"negative","Q8VBT0-O35379","O35379","Q8VBT0"
"negative","P70206-P56677","P56677","P70206"
"negative","Q8R1K1-O55003","O55003","Q8R1K1"
"negative","Q9CQC7-P18762","P18762","Q9CQC7"
"negative","Q99KC7-P70423","P70423","Q99KC7"
"negative","Q5SWZ9-A2A8L5","A2A8L5","Q5SWZ9"
"negative","Q9CQ44-Q3ULF4","Q3ULF4","Q9CQ44"
"negative","Q9CQV4-Q3TRM4","Q3TRM4","Q9CQV4"
"negative","Q8BTZ5-P17047","P17047","Q8BTZ5"
"positive","Q8C172-P35564","Q8C172","P35564"
"negative","Q9CZB9-Q91X21","Q91X21","Q9CZB9"
"negative","Q9CQU3-Q4KL25","Q4KL25","Q9CQU3"
"negative","Q9CR67-Q91VK4","Q91VK4","Q9CR67"
"negative","Q9CR22-Q3ULF4","Q3ULF4","Q9CR22"
"negative","Q8R0I0-Q5HZJ5","Q5HZJ5","Q8R0I0"
"negative","Q9CQX2-Q8K0T0","Q8K0T0","Q9CQX2"
"negative","Q91X88-P26618","P26618","Q91X88"
"positive","Q8VHE0-O70472","Q8VHE0","O70472"
"positive","Q7TNT2-P63141","Q7TNT2","P63141"
"negative","Q9D6J1-Q06335","Q06335","Q9D6J1"
"negative","Q8CFE6-Q3TXX3","Q3TXX3","Q8CFE6"
"negative","Q9ET80-Q61009","Q61009","Q9ET80"
"negative","Q9CRC0-Q6ZWQ0","Q6ZWQ0","Q9CRC0"
"negative","Q8C0L0-P70126","P70126","Q8C0L0"
"negative","Q8VBZ3-Q80XR2","Q80XR2","Q8VBZ3"
"negative","Q8BN21-Q3U1N2","Q3U1N2","Q8BN21"
"negative","Q8CIA9-O35704","O35704","Q8CIA9"
"negative","Q9ET38-Q80UK8","Q80UK8","Q9ET38"
"negative","Q3KNM2-P70245","P70245","Q3KNM2"
"positive","Q640P4-O70174","Q640P4","O70174"
"negative","Q9ERK9-O70572","O70572","Q9ERK9"
"negative","Q9D1D4-Q8BGT9","Q8BGT9","Q9D1D4"
"positive","Q9D1D4-P49769","Q9D1D4","P49769"
"negative","Q91YX5-Q61835","Q61835","Q91YX5"
"negative","Q9CQ92-Q61146","Q61146","Q9CQ92"
"negative","Q9QZI8-Q6P9J9","Q6P9J9","Q9QZI8"
"negative","P59268-P55086","P55086","P59268"
"negative","Q8VDP6-P15530","P15530","Q8VDP6"
"negative","Q9D7B7-Q8CIW6","Q8CIW6","Q9D7B7"
"negative","Q8BXZ1-G5E829","G5E829","Q8BXZ1"
"negative","Q9EQN9-Q922J6","Q922J6","Q9EQN9"
"negative","Q8VEF1-P05622","P05622","Q8VEF1"
"negative","Q9CQX2-Q60931","Q60931","Q9CQX2"
"negative","Q8VI59-Q3UBX0","Q3UBX0","Q8VI59"
"negative","Q921N7-Q8K3P1","Q8K3P1","Q921N7"
"negative","Q5RL79-P97300","P97300","Q5RL79"
"negative","Q9CYN2-Q80WJ7","Q80WJ7","Q9CYN2"
"negative","Q5SYH2-P43023","P43023","Q5SYH2"
"negative","P82349-P43252","P43252","P82349"
"negative","Q9Z1X2-Q9Z0U0","Q9Z0U0","Q9Z1X2"
"negative","Q9CYN2-Q8CIA9","Q8CIA9","Q9CYN2"
"negative","Q62312-O08579","O08579","Q62312"
"negative","Q9CQZ6-Q8BXA5","Q8BXA5","Q9CQZ6"
"negative","Q8BGY5-Q80ZD8","Q80ZD8","Q8BGY5"
"negative","Q8BH59-Q8BH31","Q8BH31","Q8BH59"
"negative","Q9D8N3-P41588","P41588","Q9D8N3"
"negative","Q9Z2C6-P56677","P56677","Q9Z2C6"
"negative","Q68FE2-Q3V209","Q3V209","Q68FE2"
"negative","Q9QYA2-Q8R1V4","Q8R1V4","Q9QYA2"
"negative","Q9D2R6-Q8BJS4","Q8BJS4","Q9D2R6"
"negative","Q9JKN1-P15209","P15209","Q9JKN1"
"negative","Q9CR33-Q6NZQ8","Q6NZQ8","Q9CR33"
"negative","Q61090-P36371","P36371","Q61090"
"negative","Q9JIM1-Q91VK4","Q91VK4","Q9JIM1"
"negative","Q9CQZ6-Q9CQN6","Q9CQN6","Q9CQZ6"
"negative","Q91VC9-P18762","P18762","Q91VC9"
"negative","Q99JH8-Q8R2Y3","Q8R2Y3","Q99JH8"
"negative","P15208-P00416","P00416","P15208"
"negative","Q9Z2I0-Q8C3K5","Q8C3K5","Q9Z2I0"
"negative","Q3TD49-O08715","O08715","Q3TD49"
"negative","Q8R4H9-P59268","P59268","Q8R4H9"
"negative","Q9Z1Q2-Q9CZB9","Q9CZB9","Q9Z1Q2"
"negative","Q91ZD4-Q4FZC9","Q4FZC9","Q91ZD4"
"negative","Q62351-P56135","P56135","Q62351"
"negative","Q9QUJ7-P00397","P00397","Q9QUJ7"
"negative","Q8BSY0-P51830","P51830","Q8BSY0"
"negative","Q923W9-Q14BI2","Q14BI2","Q923W9"
"positive","Q9Z222-Q80WJ7","Q9Z222","Q80WJ7"
"negative","P56402-P15208","P15208","P56402"
"negative","Q9CPQ3-Q91WR6","Q91WR6","Q9CPQ3"
"negative","Q8K1A5-Q8K072","Q8K072","Q8K1A5"
"negative","Q7TNS7-P41588","P41588","Q7TNS7"
"negative","Q9CZW4-Q68FE2","Q68FE2","Q9CZW4"
"negative","P82350-P54761","P54761","P82350"
"negative","Q8C838-Q3UMR5","Q3UMR5","Q8C838"
"positive","Q9Z0S9-Q8VCD6","Q9Z0S9","Q8VCD6"
"negative","Q8BXA1-P70245","P70245","Q8BXA1"
"negative","Q9QYE6-Q8VHE0","Q8VHE0","Q9QYE6"
"negative","Q9CR20-O35445","O35445","Q9CR20"
"negative","Q8K4X7-Q5NC32","Q5NC32","Q8K4X7"
"negative","Q9CXY9-P18581","P18581","Q9CXY9"
"positive","Q9JIF3-Q9DAM7","Q9JIF3","Q9DAM7"
"negative","Q91VS7-Q3V0J1","Q3V0J1","Q91VS7"
"negative","Q9JIM1-P26361","P26361","Q9JIM1"
"positive","Q9EP73-Q9CYN2","Q9EP73","Q9CYN2"
"negative","Q9CQ54-Q8VEK0","Q8VEK0","Q9CQ54"
"negative","Q91ZN5-Q8R3Q0","Q8R3Q0","Q91ZN5"
"positive","Q8VHB5-P21958","Q8VHB5","P21958"
"positive","Q8BG07-P10852","Q8BG07","P10852"
"negative","P51830-O08581","O08581","P51830"
"negative","Q9CR89-P00416","P00416","Q9CR89"
"negative","Q8VCD6-P83093","P83093","Q8VCD6"
"negative","Q8BXZ1-P97363","P97363","Q8BXZ1"
"negative","Q8R0I0-Q3U9G9","Q3U9G9","Q8R0I0"
"negative","Q9CQ56-Q8BXA1","Q8BXA1","Q9CQ56"
"negative","Q9CQ56-Q924Z4","Q924Z4","Q9CQ56"
"negative","Q8CAQ8-Q3UN02","Q3UN02","Q8CAQ8"
"negative","Q8CIF6-Q8BMK4","Q8BMK4","Q8CIF6"
"negative","Q8BJM5-O88455","O88455","Q8BJM5"
"negative","Q9Z0U0-E9Q9K5","E9Q9K5","Q9Z0U0"
"negative","Q8BJ83-P63082","P63082","Q8BJ83"
"negative","Q640L3-P17809","P17809","Q640L3"
"negative","Q99LG1-Q6TEK5","Q6TEK5","Q99LG1"
"negative","Q8CIW6-P54761","P54761","Q8CIW6"
"negative","Q8VDZ4-P12023","P12023","Q8VDZ4"
"negative","Q7TQ95-O88186","O88186","Q7TQ95"
"negative","Q75N73-Q6ZPJ0","Q6ZPJ0","Q75N73"
"positive","Q91V04-O35604","Q91V04","O35604"
"negative","Q99LR1-Q6P5F7","Q6P5F7","Q99LR1"
"negative","Q920L1-Q8CIF6","Q8CIF6","Q920L1"
"negative","Q6PD26-Q64518","Q64518","Q6PD26"
"negative","Q9R049-Q497J1","Q497J1","Q9R049"
"negative","Q9D3B1-O54885","O54885","Q9D3B1"
"negative","Q9D164-P47801","P47801","Q9D164"
"negative","Q9ERS2-Q8K2C9","Q8K2C9","Q9ERS2"
"negative","Q3UN04-P55096","P55096","Q3UN04"
"negative","Q9Z1Q2-Q9WV55","Q9WV55","Q9Z1Q2"
"positive","Q80VA0-Q71M36","Q80VA0","Q71M36"
"negative","Q8VCD6-Q64445","Q64445","Q8VCD6"
"negative","Q8BX90-Q03146","Q03146","Q8BX90"
"negative","Q8C0N2-Q791T5","Q791T5","Q8C0N2"
"negative","Q62351-P59041","P59041","Q62351"
"negative","Q9CZB9-P52795","P52795","Q9CZB9"
"negative","Q791V5-P58158","P58158","Q791V5"
"positive","Q9CQZ6-Q9CQY9","Q9CQZ6","Q9CQY9"
"positive","Q9CQX2-Q3TUA9","Q9CQX2","Q3TUA9"
"negative","Q9CQ69-P56395","P56395","Q9CQ69"
"negative","Q8BVA2-Q8BJ03","Q8BJ03","Q8BVA2"
"negative","Q8BPT6-P63024","P63024","Q8BPT6"
"negative","Q9Z222-Q8VCM8","Q8VCM8","Q9Z222"
"negative","Q6P8H8-O08579","O08579","Q6P8H8"
"negative","Q9CQ91-Q8K0C4","Q8K0C4","Q9CQ91"
"negative","Q9CY27-P18762","P18762","Q9CY27"
"negative","Q8VCH6-Q8K4C2","Q8K4C2","Q8VCH6"
"negative","Q61982-Q3UIU2","Q3UIU2","Q61982"
"negative","Q8BH24-P98191","P98191","Q8BH24"
"negative","Q7M750-O70228","O70228","Q7M750"
"negative","Q60936-Q3UN02","Q3UN02","Q60936"
"negative","Q8BYI8-Q8BXA5","Q8BXA5","Q8BYI8"
"negative","Q9CQ56-Q8C3K5","Q8C3K5","Q9CQ56"
"negative","Q9CPQ3-Q8K3P1","Q8K3P1","Q9CPQ3"
"negative","Q8BHK2-P22646","P22646","Q8BHK2"
"negative","Q64487-Q14BI2","Q14BI2","Q64487"
"negative","Q8R3H7-O08715","O08715","Q8R3H7"
"negative","Q91ZU6-O35704","O35704","Q91ZU6"
"negative","Q6P4S8-P00416","P00416","Q6P4S8"
"negative","Q8BVF7-O35683","O35683","Q8BVF7"
"negative","Q9DBH5-Q8BFZ9","Q8BFZ9","Q9DBH5"
"negative","Q8R087-Q8C1F4","Q8C1F4","Q8R087"
"negative","Q9ERY9-P52795","P52795","Q9ERY9"
"negative","Q8CIW6-Q8BGY5","Q8BGY5","Q8CIW6"
"negative","Q68FE2-P11438","P11438","Q68FE2"
"negative","Q9JIP7-O88967","O88967","Q9JIP7"
"negative","Q99KC7-Q923Z0","Q923Z0","Q99KC7"
"positive","Q3TRM4-E9Q137","Q3TRM4","E9Q137"
