"protein.id.A","protein.id.B"
"Q9BRJ2","Q15072"
"Q14978","O76024"
"Q9P206","Q5TA81"
"P35568","Q9BQ89"
"Q12874","P30520"
"P46934","O75379"
"P35711","Q6NUK1"
"Q5T3J3","P25787"
"Q9BQ95","Q6EMK4"
"Q7Z406","Q8N3V7"
"Q15424","Q9Y496"
"P13674","Q9Y697"
"P35228","Q9H871"
"P46779","Q13823"
"Q15311","Q86U06"
"Q9BRP8","Q9Y314"
"P25705","Q12986"
"P12236","P63165"
"P23284","P35908"
"P62841","O95619"
"P30101","O75807"
"Q9H6S0","Q5VT25"
"P07919","Q9Y6E7"
"Q7Z4N8","O43633"
"P39656","P81605"
"Q9BYF1","Q96MX6"
"P60896","Q9NXR8"
"Q15746","O75330"
"Q00403","P48723"
"Q5JSZ5","Q9NZZ3"
"O96017","Q92625"
"Q16650","P35558"
"Q13409","Q8N720"
"Q86XS8","Q12769"
"Q96G21","Q5M775"
"P57721","Q7Z569"
"P09651","Q8IX03"
"Q13523","O95881"
"Q14119","B2RTY4"
"Q9BQ52","P78368"
"P36406","Q96SU4"
"P0DPB6","Q5BJH2"
"Q3V6T2","Q8N3F8"
"Q9P015","Q13286"
"P49716","P53004"
"P35998","Q9UHR5"
"P51531","Q9NVR5"
"Q8N3F8","Q9UHV7"
"Q9H8H2","Q5MJ10"
"Q86WB0","Q14141"
"P61960","Q92824"
"O14556","Q14696"
"P49459","P17152"
"O00763","P35749"
"P46821","Q9UHP3"
"P40337","Q9UHP3"
"Q86VP1","Q99788"
"O15016","Q14527"
"P62851","Q16620"
"P51451","Q9NV96"
"Q01974","P25774"
"Q96AE7","Q9NPQ8"
"Q92974","Q9UFN0"
"O43707","Q13098"
"P10276","Q6ZMG9"
"O15431","O75822"
"Q7Z2W4","Q9P2K5"
"P35610","Q53EU6"
"O14976","Q14232"
"P22626","Q9BSC4"
"Q6A162","Q99877"
"Q13085","P22392"
"Q14683","P23528"
"Q96G25","Q24JP5"
"A8MVW0","Q9GZZ1"
"O43149","O75695"
"P39019","Q13485"
"Q96EY1","O15287"
"Q9Y6C9","P35659"
"O95429","P05109"
"Q8WWF1","O76014"
"Q96QE5","Q96EH3"
"Q15363","P22304"
"Q9UBC3","Q12972"
"P60842","Q07912"
"O94992","P35558"
"Q7Z417","P53675"
"Q9NPE2","P29322"
"Q13155","Q9BRT6"
"Q8TF76","Q96IX5"
"O60568","O75575"
"Q01814","O95402"
"P27449","O94886"
"O75376","O43670"
"Q9NZ01","O75691"
"P04626","P40937"
"P16615","P43360"
"O15143","P35270"
"Q9NSP4","Q12907"
"Q5TCZ1","Q9Y287"
"P54619","P51805"
"P21860","Q13887"
"P13693","O00411"
"Q9Y4P3","Q5SY16"
"Q13405","Q15631"
"O60716","O76003"
"Q12857","Q9HD26"
"P54577","O43264"
"Q9BZR8","Q01970"
"Q9UPY3","Q9HCC0"
"Q5VV42","P20248"
"O60858","O43255"
"Q9BXY0","Q8WXE9"
"Q6PJG2","Q7Z2K8"
"Q7L2E3","Q9P2N7"
"P63261","Q96AG3"
"P14923","Q0VG06"
"P63220","O60306"
"P11908","Q92620"
"P61088","Q8TDM6"
"Q08117","Q6P158"
"Q12965","Q8WUK0"
"Q92820","Q53H96"
"O75190","P0DI82"
"Q16763","Q12840"
"P53007","Q9NWS8"
"Q86WJ1","P28838"
"P62140","P17693"
"P40199","Q6PL45"
"O15111","Q2KHN1"
"P62854","Q9Y2I1"
"P50221","Q8IY21"
"Q3KQU3","Q9C026"
"Q14204","Q9NZ52"
"Q15788","P78332"
"P49407","Q9UN37"
"Q01968","P05089"
"P30837","P25090"
"Q9HC98","Q9P246"
"Q02539","Q16288"
"Q14498","Q05925"
"P12268","Q05940"
"Q6UB35","Q9BSB4"
"Q8IXJ6","P39687"
"Q15006","P33316"
"P31689","O95672"
"Q9GZY8","Q9NX24"
"P15924","Q9H0M0"
"Q96PU5","P07996"
"P59991","P20929"
"P10276","Q9NR50"
"Q9UKM9","A0A087WT20"
"P61978","P49810"
"P30825","P10619"
"Q9Y2X7","Q5JST6"
"O43852","Q7LBC6"
"O14967","Q8NEY8"
"Q99873","Q13535"
"Q14669","Q7Z5K2"
"P19174","Q9UPY3"
"Q9HAU4","O75146"
"Q2TAY7","Q8TAT5"
"O15145","Q9BVG9"
"Q15365","O95600"
"P01308","Q9NYA4"
"Q9Y2X9","Q99732"
"Q5QJE6","Q6ZMQ8"
"P42677","Q8N7W2"
"P52907","P30084"
"P31944","Q9H361"
"P06493","Q9GZS1"
"Q32P51","P62079"
"Q16513","O14681"
"Q96L33","O75368"
"O43396","Q6P4A8"
"Q92688","Q9NWH9"
"P40926","Q9NWV8"
"Q13247","Q14145"
"Q9BZZ5","Q92609"
"P78406","Q6P5W5"
"P26371","Q9Y5S2"
"P42167","P84103"
"Q9H444","P37173"
"P62879","Q96S97"
"Q13868","O95905"
"P43360","Q6UB35"
"P40926","P31350"
"Q96S52","P15260"
"Q8TD16","Q6WCQ1"
"P61962","P04440"
"P35232","Q86VP1"
"Q9BVG8","P00747"
"Q9BVA1","P0C2W1"
"O00429","O14862"
"P14859","Q8IX01"
"Q9BYF1","Q9BPZ7"
"O75569","P78396"
"P36888","Q9UDY8"
"P14866","Q13601"
"Q15149","Q68E01"
"P22830","A2VDJ0"
"Q14592","Q99956"
"P29597","Q9NS56"
"Q5VVX9","Q01826"
"Q00005","Q6UN15"
"Q5TAQ9","Q05940"
"O15078","Q15392"
"Q9UL40","Q9BR76"
"Q8TB24","O76014"
"Q14315","P07307"
"P63104","Q969V3"
"Q9GZS3","Q9Y6J9"
"Q9UBX5","P50416"
"Q9BYN8","O15511"
"O15020","Q96E35"
"Q13520","Q2T9L4"
"Q9H6S0","O00154"
"Q9NPJ6","Q06265"
"P28335","Q9UHQ9"
"Q14738","Q01433"
"P13164","O76015"
"P56556","Q8WVX9"
"P51116","Q9ULG1"
"Q12931","P48023"
"Q6PD62","O00401"
"O00151","Q12851"
"Q9ULX6","P08727"
"Q6NXT4","Q96K17"
"P05386","O43167"
"Q70CQ3","Q7Z5J4"
"Q9Y3D6","Q16832"
"Q9NWT6","Q6IN84"
"P84085","Q13951"
"Q5D862","Q8WY22"
"P53618","Q8IY63"
"P14314","Q6P1M3"
"P51610","Q8NDD1"
"Q99592","B0QYL9"
"Q86YD3","Q16825"
"Q9BQB6","Q99426"
"Q96H55","Q15545"
"Q9NS73","Q9H4L5"
"O60762","Q9BTW9"
"P37275","Q96DM3"
"P61421","Q13459"
"Q8N5N7","Q12929"
"Q9H9B4","Q9Y483"
"Q05397","Q9UK53"
"P62820","P19419"
"O43251","O75832"
"Q15349","Q96E39"
"P80723","Q9BVC6"
"P18074","O43293"
"Q14151","Q8TEL6"
"Q99543","H0YKD8"
"P15336","Q9P0P0"
"Q8TDY2","Q7Z2T5"
"O95711","Q8N720"
"P54727","P11473"
"P16389","Q6JQN1"
"Q9H2H9","Q86XI2"
"O14901","P46098"
"Q9H1Y0","Q9Y4K4"
"Q8WWQ0","Q9HAU5"
"Q96K76","Q9ULJ3"
"P41235","Q6P4A8"
"P42765","Q6ZT12"
"O60346","O00443"
"P17096","Q9NRY4"
"P35558","Q86U06"
"P41218","Q9HAW4"
"P29353","Q5T200"
"Q9Y678","Q9HC97"
"Q96EL3","Q9NQX0"
"P17661","Q9NXH9"
"P15311","O75400"
"P82932","P20810"
"Q9BXK5","Q8IZE3"
"Q8N3C0","P11233"
"P51610","Q8IUD2"
"O60925","Q9P0T4"
"Q9ULM3","Q5BJF2"
"Q16181","Q96KQ4"
"Q9NS69","O95251"
"Q13586","P08151"
"Q8IV08","Q9NR96"
"Q9UJY1","Q8WWF3"
"Q9BQA1","O60704"
"Q6P1J9","O43920"
"P30203","Q3ZAQ7"
"P46108","Q8WUD4"
"P22607","Q9H0Q3"
"Q9NZL9","O95861"
"P11362","Q96IZ7"
"Q13438","Q13951"
"P46199","Q9NX04"
"Q9NZI8","Q8IWZ8"
"Q9HBD1","Q53GS9"
"Q12824","Q96QE5"
"O43395","O00186"
"P11586","Q96ST8"
"P38159","P42336"
"Q92574","Q1ED39"
"Q99581","P13984"
"Q92620","Q6PJI9"
"Q12857","P78417"
"Q9UET6","P0CG37"
"P28799","P09471"
"Q15011","O60869"
"Q8N0V3","P78423"
"Q9H9B1","Q9Y5E6"
"Q8N1G0","Q6L8Q7"
"Q9UKV8","P54577"
"P05091","Q13576"
"Q68D86","Q9H2G9"
"Q9NWU2","Q99962"
"Q9UIA9","Q9BRT8"
"Q16659","Q8IUH3"
"Q8TCT7","O14727"
"Q8NI60","Q7Z333"
"Q9BTT0","O75581"
"Q9UIQ6","O43353"
"P46531","P53992"
"P35658","P35270"
"Q86UK7","P32971"
"O43399","P52306"
"Q9Y6H1","Q86X29"
"P09958","Q9NPA8"
"Q13586","O43741"
"Q13148","Q8WVV9"
"O95696","Q53R41"
"P07196","Q66LE6"
"Q7Z4Q2","P07602"
"P17081","P28799"
"P21964","O60942"
"P30048","P25815"
"Q92600","Q9BXS6"
"Q6NUQ1","P10147"
"Q04637","Q9BYV6"
"P46013","O95295"
"P54252","P18583"
"O43464","O00442"
"P46782","O95684"
"Q8IWZ6","Q99706"
"Q6PCB5","Q9H7Z7"
"Q14697","P60411"
"P15927","Q12849"
"P55265","P29350"
"Q9P2D0","Q9ULZ3"
"P35611","Q9UHV7"
"P09619","Q6UB35"
"Q08257","Q7Z5J4"
"P61586","Q9NV96"
"P08779","P61024"
"Q9P0P8","Q96NH3"
"Q9Y5S9","P49419"
"A2RRP1","Q6BDS2"
