"protein.id.A","protein.id.B","pair"
"Q96TA2","P16410","P16410_Q96TA2"
"P04843","Q6IPX4","P04843_Q6IPX4"
"Q9NTJ5","Q9Y570","Q9NTJ5_Q9Y570"
"Q9P0J0","P67812","P67812_Q9P0J0"
"Q8N468","Q6ZRY4","Q6ZRY4_Q8N468"
"P41587","P80188","P41587_P80188"
"P39656","O75531","O75531_P39656"
"P08069","Q9ULR3","P08069_Q9ULR3"
"P16070","Q8N9I9","P16070_Q8N9I9"
"P21462","Q8WUQ7","P21462_Q8WUQ7"
"P32246","Q15392","P32246_Q15392"
"P32241","Q5W5X9","P32241_Q5W5X9"
"P51798","Q8NC56","P51798_Q8NC56"
"Q9BUN8","P07305","P07305_Q9BUN8"
"Q9Y487","Q8IXB3","Q8IXB3_Q9Y487"
"A0FGR8","Q96RE7","A0FGR8_Q96RE7"
"O15400","P06454","O15400_P06454"
"P05362","O14770","O14770_P05362"
"Q9BSJ5","Q9UJX6","Q9BSJ5_Q9UJX6"
"P25445","Q92945","P25445_Q92945"
"P01375","P05089","P01375_P05089"
"Q9H9B4","P52434","P52434_Q9H9B4"
"P16615","Q9NRR5","P16615_Q9NRR5"
"Q969X5","Q9NRR4","Q969X5_Q9NRR4"
"O14672","Q9HD45","O14672_Q9HD45"
"O15400","P35499","O15400_P35499"
"P13164","Q96SZ6","P13164_Q96SZ6"
"O14975","Q8NB90","O14975_Q8NB90"
"Q8TCJ2","Q9NVU0","Q8TCJ2_Q9NVU0"
"Q9Y277","Q13523","Q13523_Q9Y277"
"Q9Y2H6","Q13216","Q13216_Q9Y2H6"
"Q96AG3","Q9UPV0","Q96AG3_Q9UPV0"
"Q9H0H0","Q9Y575","Q9H0H0_Q9Y575"
"Q8TED1","Q07864","Q07864_Q8TED1"
"P16070","O15397","O15397_P16070"
"Q96N66","P78345","P78345_Q96N66"
"Q07817","P54098","P54098_Q07817"
"Q8NBN3","Q15596","Q15596_Q8NBN3"
"Q13190","Q02413","Q02413_Q13190"
"Q99943","Q8WUA4","Q8WUA4_Q99943"
"Q8WXH2","Q8ND83","Q8ND83_Q8WXH2"
"P25090","O43347","O43347_P25090"
"Q9BTX1","Q6IN85","Q6IN85_Q9BTX1"
"Q9H9B4","P43250","P43250_Q9H9B4"
"O15162","Q96S97","O15162_Q96S97"
"P08581","P22102","P08581_P22102"
"Q8NEN9","Q8NG27","Q8NEN9_Q8NG27"
"O94766","Q5H9F3","O94766_Q5H9F3"
"Q9NR77","Q9UI36","Q9NR77_Q9UI36"
"Q01650","P06737","P06737_Q01650"
"Q92545","P10620","P10620_Q92545"
"Q13433","Q99426","Q13433_Q99426"
"Q9BSJ8","P08631","P08631_Q9BSJ8"
"P16070","O95168","O95168_P16070"
"Q8IYS2","Q9Y448","Q8IYS2_Q9Y448"
"P13612","Q8WZ73","P13612_Q8WZ73"
"O14842","P52655","O14842_P52655"
"Q99442","Q96JM3","Q96JM3_Q99442"
"Q8NC42","Q15788","Q15788_Q8NC42"
"P78310","Q9P2K5","P78310_Q9P2K5"
"Q8WTV0","Q9UBC3","Q8WTV0_Q9UBC3"
"P04439","P53990","P04439_P53990"
"Q5J8M3","Q9UM47","Q5J8M3_Q9UM47"
"P23634","P14598","P14598_P23634"
"O00299","P19971","O00299_P19971"
"Q14573","Q6DKK2","Q14573_Q6DKK2"
"Q07954","O15460","O15460_Q07954"
"Q04912","Q5VWG9","Q04912_Q5VWG9"
"Q6NUS6","Q9BYZ6","Q6NUS6_Q9BYZ6"
"Q03001","Q9BZ95","Q03001_Q9BZ95"
"Q92611","P40855","P40855_Q92611"
"P30530","Q969T4","P30530_Q969T4"
"Q9Y2R0","Q68D10","Q68D10_Q9Y2R0"
"P11279","Q9BUR5","P11279_Q9BUR5"
"Q9Y5Y3","Q9NW64","Q9NW64_Q9Y5Y3"
"Q9NVH0","Q16585","Q16585_Q9NVH0"
"P01889","Q02556","P01889_Q02556"
"O95573","O43609","O43609_O95573"
"P11166","Q9UBS3","P11166_Q9UBS3"
"Q92482","Q8N0Z3","Q8N0Z3_Q92482"
"P19634","Q9NVU0","P19634_Q9NVU0"
"Q86TM6","Q96SY0","Q86TM6_Q96SY0"
"Q06481","Q8NCD3","Q06481_Q8NCD3"
"Q6J9G0","Q71SY5","Q6J9G0_Q71SY5"
"P56589","Q5VWQ0","P56589_Q5VWQ0"
"P17813","Q12913","P17813_Q12913"
"Q96CP6","Q9BYC5","Q96CP6_Q9BYC5"
"Q8NBJ9","Q9GZZ1","Q8NBJ9_Q9GZZ1"
"P51809","Q8NA54","P51809_Q8NA54"
"B2RTY4","Q6NSJ2","B2RTY4_Q6NSJ2"
"Q9NYP7","Q3KNW5","Q3KNW5_Q9NYP7"
"Q9UHW9","Q8IYU8","Q8IYU8_Q9UHW9"
"Q9Y2R0","Q9H8T0","Q9H8T0_Q9Y2R0"
"Q06481","Q8ND24","Q06481_Q8ND24"
"Q03518","P28749","P28749_Q03518"
"O75746","Q15907","O75746_Q15907"
"Q92504","Q9UI36","Q92504_Q9UI36"
"Q7LGA3","P61457","P61457_Q7LGA3"
"Q16832","Q92738","Q16832_Q92738"
"Q8TBP5","P15498","P15498_Q8TBP5"
"Q96AG3","Q8WVM0","Q8WVM0_Q96AG3"
"O94901","Q9P253","O94901_Q9P253"
"O15431","Q69YQ0","O15431_Q69YQ0"
"Q15363","O43914","O43914_Q15363"
"O14763","O43561","O14763_O43561"
"P34741","P49641","P34741_P49641"
"Q86WV6","P23511","P23511_Q86WV6"
"Q9UJS0","Q9HC52","Q9HC52_Q9UJS0"
"Q68DV7","Q9Y4K0","Q68DV7_Q9Y4K0"
"Q13304","Q8NEJ9","Q13304_Q8NEJ9"
"Q92633","Q6P5Z2","Q6P5Z2_Q92633"
"Q9Y3E0","O94762","O94762_Q9Y3E0"
"O75746","O76081","O75746_O76081"
"Q8TDB4","Q0ZGT2","Q0ZGT2_Q8TDB4"
"Q9BUR5","P19022","P19022_Q9BUR5"
"Q9NPA0","Q13232","Q13232_Q9NPA0"
"P22001","Q8NCA5","P22001_Q8NCA5"
"P05067","Q9UFG5","P05067_Q9UFG5"
"Q9UHP7","Q5VV41","Q5VV41_Q9UHP7"
"A0PK00","Q9NUQ3","A0PK00_Q9NUQ3"
"Q8WY22","O75525","O75525_Q8WY22"
"F5H1C8","Q13112","F5H1C8_Q13112"
"Q9Y6C9","Q08043","Q08043_Q9Y6C9"
"Q9Y5M8","Q76FK4","Q76FK4_Q9Y5M8"
"Q96AG3","Q9Y224","Q96AG3_Q9Y224"
"P08648","Q16854","P08648_Q16854"
"P46977","Q96BZ8","P46977_Q96BZ8"
"P01906","Q6NXT4","P01906_Q6NXT4"
"Q13021","Q9BY32","Q13021_Q9BY32"
"Q9H1U9","P60604","P60604_Q9H1U9"
"P20333","Q14240","P20333_Q14240"
"P10321","Q9NUQ6","P10321_Q9NUQ6"
"Q5JTV8","O00471","O00471_Q5JTV8"
"P04844","Q07817","P04844_Q07817"
"Q96A25","Q9HAH7","Q96A25_Q9HAH7"
"P36888","Q8IZL8","P36888_Q8IZL8"
"Q5T700","Q6P2H3","Q5T700_Q6P2H3"
"Q96KC8","P98082","P98082_Q96KC8"
"Q16623","Q13332","Q13332_Q16623"
"Q8N9I0","Q05925","Q05925_Q8N9I0"
"Q6PML9","A0A7N4I394","A0A7N4I394_Q6PML9"
"P54764","Q9BZE0","P54764_Q9BZE0"
"Q9C0E8","Q68CZ1","Q68CZ1_Q9C0E8"
"O00400","O75844","O00400_O75844"
"Q12981","Q8WVY7","Q12981_Q8WVY7"
"P25942","O75529","O75529_P25942"
"P10721","Q9NXB0","P10721_Q9NXB0"
"Q8IXI1","O60942","O60942_Q8IXI1"
"Q8N201","Q04760","Q04760_Q8N201"
"Q5T8D3","Q14320","Q14320_Q5T8D3"
"Q8IY34","Q9HBM0","Q8IY34_Q9HBM0"
"Q8TAA9","Q9Y570","Q8TAA9_Q9Y570"
"Q96JN2","O94782","O94782_Q96JN2"
"O15162","Q6P9B9","O15162_Q6P9B9"
"Q9Y3E0","O75083","O75083_Q9Y3E0"
"P61073","P0C7H8","P0C7H8_P61073"
"Q8IY95","P43304","P43304_Q8IY95"
"P07550","Q9BXY0","P07550_Q9BXY0"
"Q9P0J0","Q13442","Q13442_Q9P0J0"
"O43464","Q9H2G9","O43464_Q9H2G9"
"P20020","Q6RFH5","P20020_Q6RFH5"
"P51648","O94888","O94888_P51648"
"P0CG08","P49770","P0CG08_P49770"
"Q9UHQ9","O00461","O00461_Q9UHQ9"
"O00299","Q96IQ9","O00299_Q96IQ9"
"Q13635","Q9H5X1","Q13635_Q9H5X1"
"O14975","Q6YHU6","O14975_Q6YHU6"
"O15173","Q8N511","O15173_Q8N511"
"Q3ZCQ8","Q9Y678","Q3ZCQ8_Q9Y678"
"O95169","O95271","O95169_O95271"
"P13164","Q96RF0","P13164_Q96RF0"
"Q9BUB7","Q96KM6","Q96KM6_Q9BUB7"
"Q6ZMB5","Q96KR6","Q6ZMB5_Q96KR6"
"Q9H2J7","Q9UBQ0","Q9H2J7_Q9UBQ0"
"P11362","P08237","P08237_P11362"
"P56180","Q15915","P56180_Q15915"
"P43307","Q9BYD3","P43307_Q9BYD3"
"P33151","P42773","P33151_P42773"
"P00533","P62304","P00533_P62304"
"P18084","Q03431","P18084_Q03431"
"O95858","O95231","O95231_O95858"
"P10321","Q92624","P10321_Q92624"
"O15126","Q9Y3B6","O15126_Q9Y3B6"
"Q8IY95","Q96BZ8","Q8IY95_Q96BZ8"
"Q8NBJ4","Q7Z3B3","Q7Z3B3_Q8NBJ4"
"Q15262","Q14232","Q14232_Q15262"
"Q96N66","A8CG34","A8CG34_Q96N66"
"P13073","Q92889","P13073_Q92889"
"Q00325","P15954","P15954_Q00325"
"Q9H936","P51692","P51692_Q9H936"
"O15258","Q9ULC4","O15258_Q9ULC4"
"P49755","P00966","P00966_P49755"
"Q9BSJ8","Q8IZA0","Q8IZA0_Q9BSJ8"
"P27824","P41146","P27824_P41146"
"P37173","Q13424","P37173_Q13424"
"Q13520","Q9NR77","Q13520_Q9NR77"
"Q8N766","O75791","O75791_Q8N766"
"Q8IZ57","P36941","P36941_Q8IZ57"
"Q9H1C4","O95644","O95644_Q9H1C4"
"Q8NE01","O95167","O95167_Q8NE01"
"Q96SK2","Q9NQ84","Q96SK2_Q9NQ84"
"P56589","Q9NUQ3","P56589_Q9NUQ3"
"Q8NBM4","Q8TCU4","Q8NBM4_Q8TCU4"
"P22001","Q9H8T0","P22001_Q9H8T0"
"P41587","P35499","P35499_P41587"
"A8MVW0","Q8N0V3","A8MVW0_Q8N0V3"
"Q12770","P03886","P03886_Q12770"
"P46531","O15516","O15516_P46531"
"Q8TB96","Q15776","Q15776_Q8TB96"
"Q9H300","O95298","O95298_Q9H300"
"P51798","O94782","O94782_P51798"
"Q13323","Q9H6R7","Q13323_Q9H6R7"
"Q92692","P42684","P42684_Q92692"
"Q86XL3","Q9BQ75","Q86XL3_Q9BQ75"
"Q12797","P0DI82","P0DI82_Q12797"
"Q9NX47","P30566","P30566_Q9NX47"
"Q96D53","Q96AY3","Q96AY3_Q96D53"
"P10586","Q9NWR8","P10586_Q9NWR8"
"O14828","Q13057","O14828_Q13057"
"P17302","P20648","P17302_P20648"
"Q96HA1","Q9BX40","Q96HA1_Q9BX40"
"Q96GC9","P07954","P07954_Q96GC9"
"P36956","Q8IYF3","P36956_Q8IYF3"
"Q16625","Q86SE9","Q16625_Q86SE9"
"P17302","Q8WU79","P17302_Q8WU79"
"Q14108","P14138","P14138_Q14108"
"Q96G23","P04179","P04179_Q96G23"
"Q13241","A8CG34","A8CG34_Q13241"
"Q9Y5M8","Q14694","Q14694_Q9Y5M8"
"O60313","P49454","O60313_P49454"
"P52569","P50748","P50748_P52569"
"Q5T4S7","P86496","P86496_Q5T4S7"
"Q14416","I3L0E3","I3L0E3_Q14416"
"Q5T4S7","O00299","O00299_Q5T4S7"
"Q9UQV4","Q76FK4","Q76FK4_Q9UQV4"
"O94886","Q14766","O94886_Q14766"
"Q9H1X3","Q9UNS1","Q9H1X3_Q9UNS1"
"Q92692","Q9Y3B6","Q92692_Q9Y3B6"
"Q96PE5","Q96SQ5","Q96PE5_Q96SQ5"
"Q5JRA6","Q9BQS8","Q5JRA6_Q9BQS8"
"Q96F46","O94880","O94880_Q96F46"
"Q9P0N5","P37802","P37802_Q9P0N5"
"Q9UKV5","Q4LE69","Q4LE69_Q9UKV5"
"P13569","P08621","P08621_P13569"
"Q15155","Q8IY67","Q15155_Q8IY67"
"Q9UM00","Q8TEP8","Q8TEP8_Q9UM00"
"Q86VR2","Q8IY67","Q86VR2_Q8IY67"
"Q9NY97","O60573","O60573_Q9NY97"
"Q92667","P49716","P49716_Q92667"
"Q03001","P55061","P55061_Q03001"
"P09669","P05187","P05187_P09669"
"Q8IV08","P03905","P03905_Q8IV08"
"Q9NZ01","O00767","O00767_Q9NZ01"
"O00400","Q9BRR8","O00400_Q9BRR8"
"O00299","Q13158","O00299_Q13158"
"O76024","Q96L12","O76024_Q96L12"
"Q9BVI4","Q96RF0","Q96RF0_Q9BVI4"
"Q8N386","Q96S44","Q8N386_Q96S44"
"Q9UQV4","Q96BH3","Q96BH3_Q9UQV4"
"Q13586","O15160","O15160_Q13586"
"Q9Y5Y3","P43361","P43361_Q9Y5Y3"
"Q92667","Q5JTW2","Q5JTW2_Q92667"
"O95202","P54219","O95202_P54219"
"Q96IW7","Q8WUZ0","Q8WUZ0_Q96IW7"
"O15431","Q53H80","O15431_Q53H80"
"P40259","Q9UDW1","P40259_Q9UDW1"
"P47871","Q14872","P47871_Q14872"
"O14983","Q13625","O14983_Q13625"
"Q5JRA6","Q8N6Q3","Q5JRA6_Q8N6Q3"
"P20036","Q0ZGT2","P20036_Q0ZGT2"
"Q9UIR0","Q86YC2","Q86YC2_Q9UIR0"
"O43493","Q6NSJ2","O43493_Q6NSJ2"
"Q9NYP7","Q9Y508","Q9NYP7_Q9Y508"
"P30530","Q9NPF4","P30530_Q9NPF4"
"Q9GZT6","Q9P0V9","Q9GZT6_Q9P0V9"
"O95292","P31942","O95292_P31942"
"Q9UM73","Q6UVJ0","Q6UVJ0_Q9UM73"
"P10415","Q9UBF6","P10415_Q9UBF6"
"P13612","P21730","P13612_P21730"
"Q5T4S7","Q8NHQ1","Q5T4S7_Q8NHQ1"
"O15173","Q9BTE3","O15173_Q9BTE3"
"P05026","P57721","P05026_P57721"
"P12236","Q9HCU4","P12236_Q9HCU4"
"Q9Y6M5","Q15828","Q15828_Q9Y6M5"
"Q6PJF5","Q14807","Q14807_Q6PJF5"
"Q8WXH0","Q14004","Q14004_Q8WXH0"
"P12235","O15417","O15417_P12235"
"Q8IZ57","A0A0B4J2C3","A0A0B4J2C3_Q8IZ57"
"P51648","Q96H86","P51648_Q96H86"
"Q96NL1","Q8WWC4","Q8WWC4_Q96NL1"
"Q8WXI8","Q9H9E3","Q8WXI8_Q9H9E3"
"Q06418","Q9BVG9","Q06418_Q9BVG9"
"P30825","P02538","P02538_P30825"
"Q9UBM7","Q14451","Q14451_Q9UBM7"
"Q5J8M3","Q9NR28","Q5J8M3_Q9NR28"
"O60503","Q5VWC4","O60503_Q5VWC4"
"Q9Y5Z9","Q8NB90","Q8NB90_Q9Y5Z9"
"O15173","Q9Y2K7","O15173_Q9Y2K7"
"P51674","Q5VT25","P51674_Q5VT25"
"Q96N66","Q99633","Q96N66_Q99633"
"O00483","Q8IW35","O00483_Q8IW35"
"O43909","Q8TDQ0","O43909_Q8TDQ0"
"Q12981","O95872","O95872_Q12981"
"Q9NZ43","Q8IUZ0","Q8IUZ0_Q9NZ43"
"Q16288","O43776","O43776_Q16288"
"Q9H490","Q9Y467","Q9H490_Q9Y467"
"Q6ZMZ3","Q9UBQ5","Q6ZMZ3_Q9UBQ5"
"P61619","P18084","P18084_P61619"
"Q92673","Q9UHA4","Q92673_Q9UHA4"
"P43121","P42357","P42357_P43121"
"Q6NXT4","P28562","P28562_Q6NXT4"
"Q96SK2","Q99633","Q96SK2_Q99633"
"Q8TCJ2","Q9Y6J9","Q8TCJ2_Q9Y6J9"
"Q13520","Q9NP81","Q13520_Q9NP81"
"Q96GC9","Q5T440","Q5T440_Q96GC9"
"P17948","Q9NQX4","P17948_Q9NQX4"
"Q8NFQ8","Q5T7M9","Q5T7M9_Q8NFQ8"
"P51798","O75581","O75581_P51798"
"Q96AG4","Q9P0U3","Q96AG4_Q9P0U3"
"Q8TEB9","A0A1W2PQS6","A0A1W2PQS6_Q8TEB9"
"Q9NRC1","P46527","P46527_Q9NRC1"
"Q8IV08","P60370","P60370_Q8IV08"
"Q9GZR5","Q13443","Q13443_Q9GZR5"
"P09958","Q9BUL8","P09958_Q9BUL8"
"O60245","Q96G01","O60245_Q96G01"
"P43307","Q5T7P2","P43307_Q5T7P2"
"Q16625","P43353","P43353_Q16625"
"Q86UP2","P12955","P12955_Q86UP2"
"Q8NCK7","P51798","P51798_Q8NCK7"
"Q16891","P49917","P49917_Q16891"
"Q12772","Q8N806","Q12772_Q8N806"
"P20036","O95466","O95466_P20036"
"O60245","O75525","O60245_O75525"
"P18084","P53597","P18084_P53597"
"Q9NUH8","Q13153","Q13153_Q9NUH8"
"P46977","P50851","P46977_P50851"
"P0CG08","Q96MX6","P0CG08_Q96MX6"
"Q969M3","O14727","O14727_Q969M3"
"Q8N5K1","Q96DM3","Q8N5K1_Q96DM3"
"Q01650","Q9BXS4","Q01650_Q9BXS4"
"Q04721","O75915","O75915_Q04721"
"P55899","Q9UK53","P55899_Q9UK53"
"Q9UH99","Q92882","Q92882_Q9UH99"
"Q92611","Q9H501","Q92611_Q9H501"
"P25942","Q9NR96","P25942_Q9NR96"
"O75027","Q96L11","O75027_Q96L11"
"Q01814","P17948","P17948_Q01814"
"Q96BY9","Q8IYA8","Q8IYA8_Q96BY9"
"Q9Y2G8","Q9HCU5","Q9HCU5_Q9Y2G8"
"Q9BUN8","P0C7T5","P0C7T5_Q9BUN8"
"Q8WXH0","Q13158","Q13158_Q8WXH0"
"Q99720","Q01546","Q01546_Q99720"
"Q9Y6I9","P50213","P50213_Q9Y6I9"
"Q9UKR5","Q9UEG4","Q9UEG4_Q9UKR5"
"O95573","P56270","O95573_P56270"
"Q9H5K3","Q86UX6","Q86UX6_Q9H5K3"
"Q86UE4","P62312","P62312_Q86UE4"
"Q14973","Q8WUX9","Q14973_Q8WUX9"
"Q8TEM1","Q9NRX1","Q8TEM1_Q9NRX1"
"O15258","Q9NZJ0","O15258_Q9NZJ0"
"P37173","Q7L273","P37173_Q7L273"
"Q01628","Q9BZB8","Q01628_Q9BZB8"
"P00395","Q9H165","P00395_Q9H165"
"P13569","P46109","P13569_P46109"
"Q08345","Q96PC5","Q08345_Q96PC5"
"Q9BVI4","P35520","P35520_Q9BVI4"
"Q96DA6","Q9UKF6","Q96DA6_Q9UKF6"
"O15260","Q96Q05","O15260_Q96Q05"
"Q9H9B4","Q99471","Q99471_Q9H9B4"
"P54707","P49589","P49589_P54707"
"Q96CP6","Q03405","Q03405_Q96CP6"
"P05026","Q8NAU1","P05026_Q8NAU1"
"Q8WXI8","Q96KS9","Q8WXI8_Q96KS9"
"Q9BSJ8","Q8IVH2","Q8IVH2_Q9BSJ8"
"Q14416","P19823","P19823_Q14416"
"P12830","P63165","P12830_P63165"
"Q7Z434","Q16594","Q16594_Q7Z434"
"Q9P2W9","O95155","O95155_Q9P2W9"
"O95470","P49773","O95470_P49773"
"O75746","Q9Y3D7","O75746_Q9Y3D7"
"Q5T4S7","O60291","O60291_Q5T4S7"
"Q6UXG8","P01833","P01833_Q6UXG8"
"Q93084","Q96JG6","Q93084_Q96JG6"
"Q969M3","Q9H813","Q969M3_Q9H813"
"Q9H0X4","Q86YS7","Q86YS7_Q9H0X4"
"P98164","Q8N442","P98164_Q8N442"
"Q6J9G0","O00555","O00555_Q6J9G0"
"O00483","P81408","O00483_P81408"
"P13637","P01024","P01024_P13637"
"Q86VU5","Q99627","Q86VU5_Q99627"
"Q9Y275","Q9Y287","Q9Y275_Q9Y287"
"P51571","Q96A44","P51571_Q96A44"
"Q15077","Q14692","Q14692_Q15077"
"O14842","Q8TBA6","O14842_Q8TBA6"
"P53985","P31146","P31146_P53985"
"Q5JTV8","Q93050","Q5JTV8_Q93050"
"P03915","Q9BXW4","P03915_Q9BXW4"
"Q9NY97","Q9NRW4","Q9NRW4_Q9NY97"
"Q5JX71","Q99814","Q5JX71_Q99814"
"Q00325","Q5QNW6","Q00325_Q5QNW6"
"P04626","Q9UBE0","P04626_Q9UBE0"
"Q9HD45","Q9BV94","Q9BV94_Q9HD45"
"P34925","O75695","O75695_P34925"
"P45880","Q96F46","P45880_Q96F46"
"Q6J9G0","Q709C8","Q6J9G0_Q709C8"
"P25942","O75556","O75556_P25942"
"O14828","Q9H0S4","O14828_Q9H0S4"
"O95159","Q9UDY4","O95159_Q9UDY4"
"Q01814","Q92870","Q01814_Q92870"
"Q8TEM1","Q6J9G0","Q6J9G0_Q8TEM1"
"Q86XL3","Q9NU19","Q86XL3_Q9NU19"
"Q53GQ0","Q9BSI4","Q53GQ0_Q9BSI4"
"Q96A33","P07919","P07919_Q96A33"
"P04844","O43149","O43149_P04844"
"O95858","O43422","O43422_O95858"
"O15431","Q13554","O15431_Q13554"
"Q9H300","Q5TCM9","Q5TCM9_Q9H300"
"P17948","P86478","P17948_P86478"
"O15218","P49642","O15218_P49642"
"P11279","P0DP23","P0DP23_P11279"
"Q9Y3D6","Q99683","Q99683_Q9Y3D6"
"Q9C0E8","Q9UHK0","Q9C0E8_Q9UHK0"
"Q14126","P15586","P15586_Q14126"
"O95047","F5GY88","F5GY88_O95047"
"Q9UJS0","P13984","P13984_Q9UJS0"
"O15258","Q9Y3D7","O15258_Q9Y3D7"
"O15503","P36551","O15503_P36551"
"P12830","Q5T5Y3","P12830_Q5T5Y3"
"P01906","Q6NX45","P01906_Q6NX45"
"Q9Y282","P01909","P01909_Q9Y282"
"Q9NPL8","Q02156","Q02156_Q9NPL8"
"Q96GF1","Q9H8T0","Q96GF1_Q9H8T0"
"Q9Y5U4","O60437","O60437_Q9Y5U4"
"P34925","Q9GZU8","P34925_Q9GZU8"
"P01730","Q99732","P01730_Q99732"
"P42167","P61758","P42167_P61758"
"Q13291","Q15306","Q13291_Q15306"
"P13164","Q5T8P6","P13164_Q5T8P6"
"O95183","P16298","O95183_P16298"
"P05187","O43918","O43918_P05187"
"Q9Y666","Q9H0X4","Q9H0X4_Q9Y666"
"O96008","Q7L8L6","O96008_Q7L8L6"
"Q15836","Q9UL25","Q15836_Q9UL25"
"Q8IXI1","Q6P3X3","Q6P3X3_Q8IXI1"
"Q8N7X8","P21145","P21145_Q8N7X8"
"P21709","Q96GM8","P21709_Q96GM8"
"Q9UM73","P82664","P82664_Q9UM73"
"Q9NQ11","Q6PK50","Q6PK50_Q9NQ11"
"P21802","Q8WWF1","P21802_Q8WWF1"
"P35414","Q9NRL3","P35414_Q9NRL3"
"Q6UX01","Q8NF91","Q6UX01_Q8NF91"
"O95169","Q9P270","O95169_Q9P270"
"Q9BUB7","Q9NWS8","Q9BUB7_Q9NWS8"
"Q9H313","P11310","P11310_Q9H313"
"Q9Y6H6","Q9NSK0","Q9NSK0_Q9Y6H6"
"Q9P0J0","Q8N465","Q8N465_Q9P0J0"
"Q9UQ90","P14616","P14616_Q9UQ90"
"Q92611","O94842","O94842_Q92611"
"O60704","Q99607","O60704_Q99607"
"Q9ULH0","Q9UEG4","Q9UEG4_Q9ULH0"
"P11717","Q8TDR0","P11717_Q8TDR0"
"Q01628","Q9BUR4","Q01628_Q9BUR4"
"Q12846","Q9NR12","Q12846_Q9NR12"
"P01889","Q9NZL4","P01889_Q9NZL4"
"P54764","Q9UDY8","P54764_Q9UDY8"
"P01911","Q6ZRV2","P01911_Q6ZRV2"
"P20020","Q7Z4N8","P20020_Q7Z4N8"
"P11912","Q9BV94","P11912_Q9BV94"
"Q9Y5T4","P43353","P43353_Q9Y5T4"
"Q9NZJ5","Q6ZU65","Q6ZU65_Q9NZJ5"
"Q9BXM7","P11802","P11802_Q9BXM7"
"Q03001","O95674","O95674_Q03001"
"P20963","Q96I51","P20963_Q96I51"
"P43681","Q14BN4","P43681_Q14BN4"
"P19438","P99999","P19438_P99999"
"P04844","Q9BVJ7","P04844_Q9BVJ7"
"Q96Q45","Q6P4A8","Q6P4A8_Q96Q45"
"Q9Y3D6","Q96BM9","Q96BM9_Q9Y3D6"
"P48165","O95471","O95471_P48165"
"Q6P5W5","Q8WWK9","Q6P5W5_Q8WWK9"
"O95573","O43149","O43149_O95573"
"Q9NWW5","Q9H6R7","Q9H6R7_Q9NWW5"
