protein.id.A	protein.id.B
P62191	I3L2W2
Q9H1U9	O60313
Q6ZN55	P82914
Q9Y3B9	Q92905
Q96B01	P63104
P27105	P19320
Q9UNS2	Q5S007
Q9UPY5	P08134
Q9UHB9	Q15397
Q96M27	Q15717
Q49AN0	Q16526
Q9HCN8	Q6UVK1
Q8N726	P15153
Q8IVL6	Q6ZTA4
Q9NR30	Q6NZY4
Q9P275	Q96DI7
Q8N7U6	Q71U36
Q6ZTA4	O15533
Q8ND56	P41250
Q9H4M7	Q8WXF1
P35222	A0A087X2I1
Q86Y13	P23246
Q99497	Q8NFJ9
Q9P0T4	Q16512
Q9H0J9	Q15717
Q9BRK4	Q8NE01
Q02080	P78358
Q9NVC3	Q9BRI3
Q96JQ2	A0A0A0MTB8
Q96F86	Q8WWM7
Q9NUH8	Q6N075
P36873	P12956
P15311	O60356
Q99999	O95167
P41220	P35606
P82979	P01106
Q8NCK7	Q6NXE6
Q96A08	Q8TBE0
Q00613	O15027
P15927	O43852
Q9Y3M2	Q5SW79
Q8WWB5	Q14240
P08183	P01116
Q6VMQ6	Q4LDE5
Q9BXS4	Q969X2
Q5S007	P26038
Q9NP71	O14640
Q92934	O75582
Q8IZP0	P34925
Q8WZ55	P98194
Q9Y3D5	P01127
Q9BPY8	Q92769
P38919	P26368
Q96T88	P18077
P08708	O15371
Q96KR6	O95070
Q7L0Y3	P15153
Q9P0L0	O76094
P29353	P07355
Q10567	P49418
Q92820	P11021
Q08378	P17275
Q96KC8	Q14684
Q6PJ05	Q08379
P46937	O00159
Q9ULD0	P51674
Q8IXQ3	P16278
Q9UQ35	O15479
P55884	P05023
Q9P1U1	P40227
Q6NXE6	P50991
P11940	O95714
P68371	P68363
Q14677	P42566
Q3B820	O94964
Q01469	O15305
P14416	P00533
Q9BTW9	P67775
P08574	O00217
Q9H788	Q96M91
Q8NI27	O75147
Q7L2J0	Q13247
Q9NVX7	Q8IVD9
P39019	O00308
P54198	P05549
Q9NSI2	P04049
P63000	B4DJ38
Q6SPF0	Q6NUK4
Q99615	Q01968
Q8NCK7	P48047
P29401	O94761
Q9NRX1	Q92731
Q92997	P27824
P30048	O60812
Q9NY12	Q86UV5
Q5M775	P51114
Q9UGI0	Q9GZP4
Q96PM5	P52272
Q9Y468	Q8WUB8
Q9Y3C6	Q8N5F7
Q7Z7A1	P07305
Q96QA5	Q92547
Q9NS71	Q96DA0
P63279	P06493
P50552	O94986
Q96JP2	Q14142
Q14565	Q00005
Q9H8H0	P14174
Q96C12	P06733
Q96JN2	Q96BR6
Q8IZ69	P08621
P15153	O75787
Q9UGI0	P84101
Q9NVH0	O95786
Q9Y6N9	Q9Y6N9
P63104	P08240
Q53GQ0	Q13489
Q9Y4K0	P62314
Q9Y6K1	Q15910
P40818	P25490
Q9H1E3	Q12824
P30153	A0A087WZ13
P31946	P22607
Q13263	P30279
Q9ULX6	Q9NSY0
P29692	O60942
Q9NVH0	A6NJ78
Q9H6Q3	Q15303
P35244	P00491
P98174	P78310
Q15418	P43121
P57077	P22415
Q9UBQ0	F8WC89
P35241	O14732
Q9NS23	Q13535
Q9UER7	H3BPE1
Q96KG9	O95391
Q07157	P15927
Q9NXF1	P04198
Q9H492	P56182
Q7L2J0	P62829
Q9UKV3	P31943
Q13427	O95926
Q96MT8	Q52LR7
Q96C36	Q15554
Q9NR48	Q13144
Q9UKA1	Q96JN8
Q9HB71	O75953
Q92793	P16455
Q9P2R7	Q15910
Q9HCX3	Q69YN4
Q96M27	P22681
P01375	O14920
Q15059	P01877
Q13099	P05141
Q9Y3A3	Q9UGI0
Q96LC9	O14901
Q9BST9	P31946
Q13242	P84243
Q9P2M7	Q96S53
Q5VTL8	P14866
Q05086	P55036
Q9BSN7	P06241
P29275	O43760
Q9BRK4	P31689
Q9P2K8	Q9BTE6
P35222	P00558
Q99853	Q99853
Q9NRI5	Q99873
P60033	P05387
Q9H7D0	Q96JJ3
P06753	O15164
P62280	P31947
Q86WX3	P55317
Q04727	P0DMV8
Q58WW2	P10909
Q86X02	O43422
Q86U44	P10809
Q8TD16	Q6FI81
P27695	P15692
P68431	P0DP91
Q9NXG6	Q92633
Q9H444	Q15365
P62826	P31948
P27986	P00519
Q9BYV6	P41134
O75718	O60356
Q9NX55	P55287
Q9BZE4	Q96S59
P08651	O95453
Q13363	B4DY08
Q9UN36	P31943
Q6UXF1	Q6JQN1
Q7L2J0	P63208
P68431	P37840
Q99832	Q16659
Q9H0W5	Q12907
Q86V48	P15311
Q71UM5	Q15691
Q5W0B1	P24385
P43243	P42167
Q96KQ7	O14593
Q15303	P31949
Q99750	Q8N5R6
Q6IEG0	P36969
Q96CW5	P02792
Q9NS85	P21675
Q8N8L6	P40197
Q9NUL7	P82673
Q8N4V1	O94886
Q92766	P61956
Q96ST2	Q09472
Q9H0C1	Q92917
Q99612	Q16665
Q96AG4	P01116
Q92914	Q13387
Q01826	P43362
Q9UJY5	P49736
Q8IXL7	P60520
O95817	O15165
Q8TDD1	P68431
Q9NWU2	P10809
P34931	P32121
P62258	A7KAX9
P53597	P35222
Q14498	O60508
P13637	F7VJQ1
Q9UJT0	P06748
Q92997	O43395
O75478	O60231
Q99808	P61019
Q9UK96	Q92628
Q00613	P06454
Q96EB6	P18887
P35558	O15503
Q5VYS8	P02489
Q13526	O75553
Q92845	P18583
Q8TAA9	P49257
Q04656	P29371
P62854	P61513
Q9NZD4	Q05086
Q8WXX5	Q01813
Q6PKG0	Q14966
Q8NEN9	Q07020
P56182	O14604
Q8TCT1	P12277
Q15776	O60260
O95159	O14828
Q9UBU8	Q9P0L0
P50613	P27348
Q9Y3E0	Q969G5
Q9NRD1	Q92905
P78371	P48643
Q93062	Q63HR2
Q9HAD4	P13164
P34897	O95427
Q9UHD9	P00742
Q9NYL9	P62136
Q14232	P05198
Q7Z7K2	O43167
Q9NVX7	Q93009
P32241	P0CG08
Q9BVQ7	Q86U44
Q9BTC0	P04198
Q9HBW0	Q13948
Q96BX8	P20020
Q9BXS6	P48426
Q92843	P02654
Q96AQ9	P62760
Q96DH6	B9A025
P29401	O60260
Q9NVX2	P51608
Q8N653	Q16666
P09669	P09669
Q96JM3	Q8WVE6
Q5XX13	Q5T4F4
Q05513	P55060
Q9HB90	Q6PKG0
Q12979	P04156
Q8N684	P62306
P47897	O00308
Q5LJA5	Q53TQ3
Q12888	Q08AM6
Q7Z5K2	P02545
P06733	O00487
Q9NUQ8	Q13573
Q14995	Q13127
Q9Y297	Q15233
Q86TA1	O95819
P46934	P11362
Q712K3	P46926
Q9Y2U9	Q04917
Q4G0F5	A0A087X256
Q96CS2	Q6IPU0
Q9H582	Q8NHV4
Q96DM3	Q7L1V2
Q9Y295	P46821
Q99607	Q8WUU5
Q9NNZ3	P28331
Q5VZL5	P22087
Q8TAD8	Q6PJT7
Q9BTE6	Q7L5Y6
Q676U5	Q5JVF3
Q6ZRI6	O14980
Q9HAT2	Q95460
Q92734	O15496
Q9UHA4	Q13131
Q9ULK4	P30876
Q9BQ67	P41218
Q15904	P10620
Q9NW82	Q8N531
Q9Y388	Q96SB4
P14867	P07195
Q9Y5A9	P31946
P43026	P36894
P56377	O43567
Q9UQ35	Q99728
Q9H8E8	O75529
P52209	P15311
Q8NDV7	P26196
P39019	O60739
Q99798	P25705
Q9BZQ6	Q16543
Q9UGC7	Q5T653
Q9Y4A5	Q5JUK2
P61218	O15446
Q9UNX3	Q8TF39
Q9HC29	P09651
Q8N0Z6	P62888
P13569	O94889
Q9Y295	O75822
Q9UJV8	Q8IX01
Q14526	O14497
Q9Y3D0	O94761
Q676U5	Q2KHM9
Q5C9Z4	P46776
Q9UJF2	P62330
Q9Y4A5	P06865
Q69YN4	E9PAV3
Q96G03	Q13011
Q08379	P53007
Q6ZN16	P61026
P48645	P04808
Q6ZTA4	Q13442
Q8NE71	P05186
Q9NZT1	Q86WA6
Q9UQ10	P50336
Q9UGI0	P09543
P31947	O94964
Q96A33	Q8NEN9
Q9Y2I6	Q8NA92
Q9H6R4	P06748
Q9UM73	Q8IY18
P07437	P03372
Q9BXK1	O95785
Q9UHI6	P05067
Q6R327	P15924
Q8NHP6	P78423
Q9UNH7	P62068
P10244	O75530
Q9Y221	Q8WYQ5
Q9NRK6	O75390
Q9Y2R9	Q9NPE2
Q8N4W6	P50222
Q8N766	P04439
Q13285	P0DI81
Q8NCP5	P54132
P62495	P60953
O14763	A8MVW5
Q9ULT8	Q99741
Q9NPF4	Q32M45
Q9UQF2	P00533
Q9UJW9	Q71SY5
Q9BQ65	Q96DA0
Q7KZN9	P27824
Q9BZL3	O75508
Q8N4N3	O95400
Q8NC42	P49327
P62277	P10398
Q86YV6	P14625
Q9UPN4	P36941
Q9NWT6	Q92667
Q13107	P06213
P08727	P04049
Q96HR3	P49336
Q99750	Q14213
Q9BZD4	Q5VIR6
Q5VW00	P04150
Q01082	A1L020
P49959	P04156
Q16822	Q02156
Q15006	P05187
Q9BZI7	P49715
Q9Y5P4	Q2TAY7
Q9BYD2	P00533
Q15025	P18621
P22087	O14980
Q8WVV9	O95793
Q16891	P45880
Q9NP61	O43933
P49116	O96019
P04637	O14617
Q15672	Q13620
Q9NUJ3	Q6ZNA1
Q6AI08	Q16288
Q15363	Q10471
Q5VYK3	P51151
Q7Z739	O00443
Q92598	P49642
P27824	P26717
Q9H4E7	P05067
Q9UHN1	Q8TF66
Q96IK0	Q8WWP7
Q99502	Q969H0
Q9UHD4	O75880
Q13619	P48449
Q01082	P01111
Q9H1C4	Q96S52
Q13618	O00165
Q96CS2	Q7Z4H7
Q8WXF5	O95786
Q96A33	P47914
P61978	O95218
Q9BRT6	O60287
Q96GG9	Q7Z794
Q9HCE1	Q5TKA1
P68400	O75071
Q9NZ71	Q96SY0
Q8N144	Q7L1W4
P80723	P61019
Q9H3S7	Q9H0E2
Q9HC56	Q8IXU6
Q92581	A0A087WXD1
Q6UXV4	Q504Y0
Q9Y2Q3	P42224
Q9BWT7	Q96T60
Q8TCG1	O60346
Q9NQX4	Q16643
P27986	O14544
Q9NYF8	P49759
Q96RK0	P10589
Q9NSE2	P54253
Q9UI14	O00141
P57054	P13073
Q96E29	Q15434
Q9NZU5	P04049
Q9NR20	Q16543
P17152	O43557
P42166	P17987
Q14686	A0A087X0H5
Q8WUI4	O95985
P62318	P30279
Q96JJ3	P62256
Q9NVJ2	Q8N7P1
Q8NA61	O95147
P40939	O00468
Q05513	P02686
Q9H3H5	P15812
P61421	P04843
Q8N3U4	P61296
Q8NFZ4	A0A0U1RRJ0
Q5PRF9	O43379
Q12874	O95793
Q13356	P18146
Q9Y5Y6	Q9Y219
Q69YN4	P31153
P47902	O95900
Q9Y6X5	P11279
Q9NYK5	Q9H0D6
Q9C0F0	P51784
Q13523	P62256
Q99592	B1ANR0
Q676U5	P53680
Q9Y6M9	O95292
Q9NVN3	P04899
Q00839	P07305
Q6PRD1	Q12778
Q8WXH0	P62424
Q96K49	P17787
Q9UM00	P61927
Q00872	P16402
P16333	O43918
Q6ZNB6	Q13509
Q9NX04	Q9BVN2
Q9BS26	O76076
Q9ULK4	Q9UKL0
Q7L5N1	P07900
Q5JTY5	Q15393
Q9UJX3	P51991
Q9UKJ1	Q16363
Q92734	Q8TB96
Q09161	P11021
Q9BU70	Q96QB1
Q9H0G5	P08579
Q9BTT0	Q8NC51
Q9HC98	P24390
Q64LD2	P07942
Q99728	P24928
Q15910	O60884
Q9BYF1	P02533
Q96HA8	A9UHW6
Q5T9L3	Q5T9L3
P55854	P30084
Q8TBK6	A1XBS5
Q96A44	Q8NEB9
Q9H497	P27824
Q6NT46	P28074
Q5VYS8	P53350
Q6ZV89	P62993
Q9UJX6	Q9H4L7
Q8N4Q1	Q5JTV8
Q9UJX4	Q9H5X1
Q9Y2M0	Q6NXT2
P51991	P33778
Q6AHZ1	O00499
Q9Y478	Q9H4B7
Q6ZSA7	Q6UX07
Q92993	Q8N163
Q9P289	Q6IBS0
P49862	P30838
Q96E11	Q15031
Q9HAC8	O00308
Q8NFW9	P62993
Q96EY8	Q8NA61
Q92630	P18146
Q15233	P01308
Q9Y2K7	Q6ZTA4
Q15006	P31040
Q08170	P61326
Q9H9G7	Q8WXF1
Q9H2S9	Q14839
Q9Y5Q9	P19784
P56945	P53350
Q9UHP3	Q6PID8
P12236	P01023
Q13243	P23396
P10644	A0A9H4CVU7
P86481	O43639
Q9H4B8	P11021
P04439	P02786
Q9NZD1	Q9H1C4
P61353	A6NMZ7
Q9H2C2	Q5T700
Q96KQ7	P13639
O15164	A1L190
Q96BR9	Q8NHQ1
Q8N5F7	Q6NYC1
Q9UKY7	O95182
Q9UGI8	Q8WUM4
P68431	P15918
P82930	P40926
Q9Y3B8	P11021
Q96GF1	P27824
P37840	P02786
Q13177	A0A2R8YG42
Q8IWX8	Q86VP1
Q8N1D5	Q5JST6
Q9UHC7	P62701
Q8IZ81	P15927
P48729	P35222
Q15650	A0AAG2TJB2
P08758	O75323
Q9NVV0	P04844
Q13137	P24928
Q12797	O15294
Q96IC2	Q02509
Q8NC51	Q15397
Q96A33	O95674
Q00839	O94972
Q96RT1	P53778
Q5JU67	Q12778
P61964	P55010
Q92905	P31260
Q9NUX5	Q8WXG6
Q9NW13	P46087
P13569	O60939
Q69YN4	P49720
Q8N6Q3	P35232
P48029	O43493
Q9Y5B8	Q5VTT2
Q9UHB9	Q9H009
P27986	O75593
P04406	O15541
Q12899	O60381
Q8WV44	Q86SG2
Q9NZL9	Q00266
Q69YN4	P11216
P46783	P15880
Q96GC9	Q05682
Q96MY7	O95235
Q96PK6	P35637
Q8WWI5	Q14258
Q9BU76	Q00341
Q9Y5A9	P68363
Q9Y6K9	P63211
Q92581	A6NCE7
P51151	O15031
Q96EV8	Q6QNY0
Q9NYF8	O60356
P62805	P0DP91
P49792	O00499
Q9NQB0	P11308
P36873	P03372
Q86UP3	Q12857
Q9NSE4	Q96EH3
Q03989	P86496
Q99623	P49116
Q96CW1	P63010
Q13421	O95672
P78337	O14980
Q9UKN8	P78563
Q9UJY4	P21802
Q9NVX2	O00268
Q93045	Q92783
Q9Y4K3	Q9UNM6
Q9NY97	P61254
Q99836	Q96HA8
Q9C0C9	Q96A08
Q9BVV7	P61221
Q16836	P35244
Q5T8I3	Q14258
Q13485	P54868
Q9Y6A5	Q92831
Q92925	O00308
Q15645	P62256
Q10713	P13196
Q96S97	P62330
Q15560	Q13158
Q9NRZ7	P54219
Q8IWU5	Q6ZTA4
Q8N6F1	Q15323
P12814	O00429
Q86YV6	P63241
Q6RW13	P09093
Q86UY6	Q01831
Q9P0M9	Q13825
Q9H2U1	Q08211
Q92841	Q12906
Q8NFH3	O15018
Q9Y5X2	P16333
Q8NEC5	Q6L8H2
P67775	P43405
Q8NFJ9	P60709
Q9Y2H5	Q96E35
Q9UKE5	P10114
Q9BSH4	O75439
Q96H96	Q12931
Q15717	P00367
Q5QP82	P19086
Q8TED0	P00533
Q96CV9	Q92597
Q6PML9	O95831
Q12908	O96005
P07237	O00567
Q92621	Q7Z7L1
Q9Y3I1	P61081
Q9UBY9	P05067
P62314	P12270
P61978	A0A0S2Z5X4
Q96PK6	P56537
Q07960	P20337
Q6NUK4	Q04917
Q9NP73	P22087
P61024	O75031
Q8IUG5	Q02779
Q6UWQ7	P78337
Q8HWS3	Q13643
Q92667	Q86Y13
P21554	P07550
Q9HB75	Q92688
Q9BV73	P62979
Q9P2W7	Q14643
Q8IYB5	P27694
Q9ULH0	Q13643
Q96EA4	Q14142
Q8IXM3	P10809
Q9BZ76	O14672
Q9Y4E8	Q96TC7
P78406	P46663
Q13257	Q12830
Q96BH1	P28482
Q9H4D1	O43824
Q12770	O43493
Q9UEW8	Q14C87
Q15172	P30154
Q9UPG8	Q14119
P28482	O75386
Q04721	P06239
P01375	P00387
Q9Y312	P25789
Q8IYR0	Q8IYA8
Q9UIH9	Q2TAC2
Q9UHD2	P19838
Q53TS8	Q49MG5
Q96E29	O75494
P42166	O75477
P15927	P05067
Q5VV42	P11511
P36507	P07437
Q9UPY6	P00533
Q9UIL8	Q9H0A9
Q02413	P20930
O95104	O15479
Q9Y6G3	Q16204
P35638	O75971
Q99873	Q15788
Q6PIJ6	A0A087WZ13
Q9UF11	O95817
Q13057	P19320
P62937	P06454
Q9Y252	P29992
Q00610	P21980
Q3I5F7	P49590
Q9UBQ6	P32297
Q6PCB5	Q2KHN1
Q16543	O15519
Q8TDY2	O95352
Q6ZUI0	Q13520
Q99608	Q8WWM7
Q13619	Q13216
Q8NFH5	P56945
Q6S8J3	P68032
Q9Y4K0	P62318
Q9UNK9	P06730
Q92600	Q8NDV7
P11021	P09326
Q30KP9	O75882
P13569	O15231
P42167	O95696
Q96K58	Q96HE9
P20674	P08574
Q9UMN6	Q9BYV6
Q8N5H7	P06396
Q9UPN3	Q03135
Q9BYM8	P00403
Q9Y262	P27694
Q13156	P00558
P32456	P16949
Q13137	P61106
P20073	O14640
Q9HBH0	Q8NE01
Q9Y239	P83881
Q9Y5X1	O75147
Q9UII4	Q15370
Q96PY5	Q8IZJ1
Q96T37	P48431
Q96B26	Q8WVZ3
P35244	P00918
Q8IV63	P08670
Q13424	P07148
P49711	P11142
Q8N715	Q15058
Q13586	O43493
Q7Z7K0	P05141
Q9BVI4	P62266
Q8WVY7	O60260
P35244	O94925
Q8TBA6	P06239
Q9H496	Q00765
Q9NVP1	P35244
Q9BXR6	O43889
P60033	P22626
Q9UMR2	P17900
P29323	P0DMV9
Q9UNA3	Q9BUJ0
Q9UJH8	O95711
P04637	O95210
Q9BVJ6	Q05519
Q9NV06	P17987
Q92614	P61019
Q8NA61	A1XBS5
Q8NA75	P60660
Q3MIP1	P13533
Q12986	P62837
Q8WXH0	Q8N5U6
Q9H9A5	Q7Z739
P49721	A0A087X2I1
Q96QZ7	Q69YU3
Q9H8H0	Q96LT7
Q9BV44	O60884
Q9ULX3	O95985
Q8NFH3	P38159
Q99471	Q71RC2
P46939	P40337
Q9NPI1	P49916
Q9UPR3	Q01804
P08621	O43395
O43570	O43147
P84098	O95363
Q9NY61	Q16526
Q92876	P09172
Q6RW13	O00330
Q92572	Q15717
Q8NDI1	Q8IW75
Q8NC51	Q7L2H7
Q5VV42	P47756
Q9NQS1	P10415
Q8TBP5	O94766
Q99873	P55884
Q5TC82	P12956
P78317	P08238
Q8WUZ0	J3KMZ8
Q9P2D1	Q9HC78
Q9Y2W1	Q8NEN9
P82675	O75879
Q13526	P26367
P48047	P10809
Q14247	P27695
Q9UJX2	O14544
P83881	P11142
Q9Y2X0	Q9P086
P60709	H7C0V5
P32969	P05412
P14927	P04792
P12035	P05787
P07225	O75015
Q8N490	Q68E01
Q9UM11	Q96GA3
P54725	P26378
Q8TC12	Q13492
Q9Y606	Q8N3J9
P01308	O60243
Q9HB71	P47756
Q9NZ08	Q6UW68
Q9UKM9	Q9BYF1
Q9HCE1	Q8NDW4
Q6ZTA4	Q16720
Q8WUM0	Q69YN4
Q04446	P40123
Q9BQ04	Q969Q0
Q9UKA2	Q96CS3
Q96MH7	Q14653
Q6JQN1	P04156
Q9Y6G3	Q9BYD3
Q9NPI1	O43390
P48431	P17987
Q99550	O14777
Q13790	P02652
Q9Y2I6	Q8IZT9
Q9UIF9	P47756
Q9Y3S2	Q9UHB7
Q13501	P26583
Q9H4D1	P08758
Q99755	P02792
Q13635	O15230
Q9NUU6	Q8N5Y8
Q92552	P47756
Q9Y294	Q14814
Q12866	P30530
