protein.id.A	protein.id.B	pair
Q9BXT2	O60637	O60637_Q9BXT2
Q13571	P11279	P11279_Q13571
Q9NY72	Q01453	Q01453_Q9NY72
Q9Y653	P17693	P17693_Q9Y653
Q96L58	Q8TCT7	Q8TCT7_Q96L58
Q9NUQ2	Q96BA8	Q96BA8_Q9NUQ2
Q96RQ1	Q8N5G2	Q8N5G2_Q96RQ1
Q9UIR0	Q8NFZ4	Q8NFZ4_Q9UIR0
Q9HBX9	Q5SGD2	Q5SGD2_Q9HBX9
Q7Z404	O95858	O95858_Q7Z404
Q86T03	Q06418	Q06418_Q86T03
Q96A33	P16435	P16435_Q96A33
Q9Y6M7	P20333	P20333_Q9Y6M7
Q9H1C4	B7ZAQ6	B7ZAQ6_Q9H1C4
Q99808	O95977	O95977_Q99808
Q9NP94	P30273	P30273_Q9NP94
Q8WXI8	Q8IV08	Q8IV08_Q8WXI8
Q14CN2	P30411	P30411_Q14CN2
Q9GZY8	P10415	P10415_Q9GZY8
P25090	O75110	O75110_P25090
Q9H2F3	Q96EX1	Q96EX1_Q9H2F3
P61619	P51571	P51571_P61619
P32241	P13569	P13569_P32241
Q9NUH8	Q8NEW7	Q8NEW7_Q9NUH8
Q8NFZ8	P60033	P60033_Q8NFZ8
Q969X5	O95864	O95864_Q969X5
Q14833	P00533	P00533_Q14833
Q8TBB6	Q09328	Q09328_Q8TBB6
Q9H1C4	Q96G23	Q96G23_Q9H1C4
Q99442	P30825	P30825_Q99442
P16435	P0C6T2	P0C6T2_P16435
Q5SNT2	P61073	P61073_Q5SNT2
O96008	O14949	O14949_O96008
Q9HCU4	Q8TDU6	Q8TDU6_Q9HCU4
Q9BTV4	P37268	P37268_Q9BTV4
P35613	P21583	P21583_P35613
Q8NGA1	Q14332	Q14332_Q8NGA1
Q9P0N5	Q96SK2	Q96SK2_Q9P0N5
Q9P0S3	P47775	P47775_Q9P0S3
Q9H6H4	Q9BUN8	Q9BUN8_Q9H6H4
Q9UM00	Q96GX1	Q96GX1_Q9UM00
P20333	P05023	P05023_P20333
Q86X19	O95490	O95490_Q86X19
Q8TEB9	P22460	P22460_Q8TEB9
Q12770	O43556	O43556_Q12770
P41273	O43493	O43493_P41273
Q53GQ0	Q00325	Q00325_Q53GQ0
Q9NPG1	O94777	O94777_Q9NPG1
P48960	P41231	P41231_P48960
Q9P2W9	Q9NYP7	Q9NYP7_Q9P2W9
Q9Y6A1	P15812	P15812_Q9Y6A1
P98196	O94823	O94823_P98196
Q9NYK1	Q9NR97	Q9NR97_Q9NYK1
Q92729	P04626	P04626_Q92729
Q5T3F8	P16389	P16389_Q5T3F8
P78369	P35372	P35372_P78369
P05067	O15547	O15547_P05067
Q9P2W7	Q9H1E5	Q9H1E5_Q9P2W7
Q9H2F3	Q8WVV5	Q8WVV5_Q9H2F3
Q8IXI1	Q5JRA6	Q5JRA6_Q8IXI1
Q53FV1	P32249	P32249_Q53FV1
O75352	O43759	O43759_O75352
Q9NVC3	Q8IV08	Q8IV08_Q9NVC3
O95858	O15260	O15260_O95858
P81408	P13224	P13224_P81408
Q9Y2H6	Q5BVD1	Q5BVD1_Q9Y2H6
P04843	P04843	P04843_P04843
Q9Y5Z0	Q8NC56	Q8NC56_Q9Y5Z0
Q8TDT2	I3L0A0	I3L0A0_Q8TDT2
Q92482	O60725	O60725_Q92482
Q9BY71	P78536	P78536_Q9BY71
Q99442	P19634	P19634_Q99442
Q9Y5Y3	Q96JX3	Q96JX3_Q9Y5Y3
Q13505	O43193	O43193_Q13505
O60896	O14880	O14880_O60896
Q9NV12	Q6ZS10	Q6ZS10_Q9NV12
Q9Y5H2	Q3KPI0	Q3KPI0_Q9Y5H2
Q9HAW7	P22310	P22310_Q9HAW7
O15269	O15173	O15173_O15269
Q9NVI7	Q02127	Q02127_Q9NVI7
Q9H3N1	P22455	P22455_Q9H3N1
Q24JP5	P43630	P43630_Q24JP5
Q15043	P41231	P41231_Q15043
Q9UGT4	Q96A25	Q96A25_Q9UGT4
Q9BVG9	Q5T0T0	Q5T0T0_Q9BVG9
Q96HD1	Q92685	Q92685_Q96HD1
Q3ZCQ8	P12236	P12236_Q3ZCQ8
Q96JJ7	Q8N144	Q8N144_Q96JJ7
Q9NVV0	P04844	P04844_Q9NVV0
P78552	P16410	P16410_P78552
Q9Y585	Q5J8M3	Q5J8M3_Q9Y585
Q9H244	Q96HD1	Q96HD1_Q9H244
Q8IUN9	Q13021	Q13021_Q8IUN9
Q9H3N1	P60033	P60033_Q9H3N1
Q7Z7N9	P56747	P56747_Q7Z7N9
Q9Y6M5	P27824	P27824_Q9Y6M5
Q9BYC5	Q6P5W5	Q6P5W5_Q9BYC5
P43308	P05023	P05023_P43308
Q96D31	Q8WUD6	Q8WUD6_Q96D31
Q8N6L1	Q6ZMG9	Q6ZMG9_Q8N6L1
Q7L4E1	F8W7S1	F8W7S1_Q7L4E1
Q96KC8	P35499	P35499_Q96KC8
Q7Z3C6	O60499	O60499_Q7Z3C6
Q9BWH2	Q13520	Q13520_Q9BWH2
P20020	O75084	O75084_P20020
Q8IZR5	P47871	P47871_Q8IZR5
Q96E22	Q3MIR4	Q3MIR4_Q96E22
Q6J9G0	Q5BJD5	Q5BJD5_Q6J9G0
Q9Y3Q4	Q9UL51	Q9UL51_Q9Y3Q4
Q9Y4W6	Q9BUB7	Q9BUB7_Q9Y4W6
Q96A33	Q16288	Q16288_Q96A33
Q9NR77	Q5JRA6	Q5JRA6_Q9NR77
Q96S66	P04626	P04626_Q96S66
Q9UBQ6	O00180	O00180_Q9UBQ6
Q96AG4	Q6Y288	Q6Y288_Q96AG4
Q96FV3	Q93084	Q93084_Q96FV3
Q9C0H2	P41231	P41231_Q9C0H2
Q8N201	P35372	P35372_Q8N201
Q9H2F3	Q14739	Q14739_Q9H2F3
Q15399	Q15399	Q15399_Q15399
Q8NC56	Q8IV08	Q8IV08_Q8NC56
Q8TEB9	Q14432	Q14432_Q8TEB9
Q9NX14	O95298	O95298_Q9NX14
Q96B77	Q53RY4	Q53RY4_Q96B77
Q8NCG7	O60636	O60636_Q8NCG7
Q9Y6C9	Q7L4E1	Q7L4E1_Q9Y6C9
Q9ULX7	Q7Z2K6	Q7Z2K6_Q9ULX7
P26006	P13569	P13569_P26006
P43220	O95471	O95471_P43220
P43005	P36896	P36896_P43005
Q9NXB9	Q01628	Q01628_Q9NXB9
Q9P0I2	Q6NUS6	Q6NUS6_Q9P0I2
Q8NE01	O15400	O15400_Q8NE01
Q9Y2H6	Q14126	Q14126_Q9Y2H6
P36021	P21926	P21926_P36021
Q8IZ52	Q70JA7	Q70JA7_Q8IZ52
Q9NR77	Q8N5G2	Q8N5G2_Q9NR77
Q9Y4W6	Q9NWR8	Q9NWR8_Q9Y4W6
P38484	O75298	O75298_P38484
Q92482	B7ZAQ6	B7ZAQ6_Q92482
Q13651	B0YJ81	B0YJ81_Q13651
Q6NUS6	Q03519	Q03519_Q6NUS6
Q6P1A2	Q03431	Q03431_Q6P1A2
Q13520	P30825	P30825_Q13520
Q8TEB9	Q8NG81	Q8NG81_Q8TEB9
Q9H8J5	P98164	P98164_Q9H8J5
Q5SRD1	O43889	O43889_Q5SRD1
Q9UNG2	A8MVW0	A8MVW0_Q9UNG2
P20020	O95159	O95159_P20020
Q9HCN3	Q96DZ9	Q96DZ9_Q9HCN3
Q9Y2G8	O43493	O43493_Q9Y2G8
P60468	P48029	P48029_P60468
Q9P0S3	Q8TCC7	Q8TCC7_Q9P0S3
Q9ULY5	Q5VV42	Q5VV42_Q9ULY5
P33947	P04626	P04626_P33947
P14222	P13747	P13747_P14222
Q15125	P46098	P46098_Q15125
Q9NQC3	O75396	O75396_Q9NQC3
Q9Y6X1	Q96BI3	Q96BI3_Q9Y6X1
Q8NHX9	P36894	P36894_Q8NHX9
P49281	B7ZAQ6	B7ZAQ6_P49281
Q8N766	P10620	P10620_Q8N766
Q9ULG6	Q30201	Q30201_Q9ULG6
Q16586	Q15800	Q15800_Q16586
Q13021	P16410	P16410_Q13021
Q08334	P19438	P19438_Q08334
Q9NZC3	Q96HR9	Q96HR9_Q9NZC3
Q8WZA1	Q8IVM8	Q8IVM8_Q8WZA1
Q99942	P35610	P35610_Q99942
Q96BA8	P41181	P41181_Q96BA8
Q8N6R1	P35372	P35372_Q8N6R1
Q9NVV0	Q96AG4	Q96AG4_Q9NVV0
Q92838	P26678	P26678_Q92838
Q9Y426	Q8TDB4	Q8TDB4_Q9Y426
Q9NVI7	P08574	P08574_Q9NVI7
Q8TEY5	P03372	P03372_Q8TEY5
Q9BSJ8	Q15041	Q15041_Q9BSJ8
Q9NQ11	Q96HD1	Q96HD1_Q9NQ11
Q96A25	Q10471	Q10471_Q96A25
Q96B96	Q6UE05	Q6UE05_Q96B96
Q9P0L0	P0CG08	P0CG08_Q9P0L0
Q9BWM7	Q13241	Q13241_Q9BWM7
Q9NRZ5	Q3KNW5	Q3KNW5_Q9NRZ5
Q86UD3	O14763	O14763_Q86UD3
Q9GZR5	Q14318	Q14318_Q9GZR5
Q99942	P49447	P49447_Q99942
Q8N5M9	P45880	P45880_Q8N5M9
Q9NX76	O95977	O95977_Q9NX76
Q96IW7	P35372	P35372_Q96IW7
Q9NX62	Q16849	Q16849_Q9NX62
Q86YN1	P0DPA2	P0DPA2_Q86YN1
Q06418	P30530	P30530_Q06418
Q9NS69	P21796	P21796_Q9NS69
Q8WXH2	Q01453	Q01453_Q8WXH2
Q9UHP7	Q9BVG9	Q9BVG9_Q9UHP7
Q8WWF3	Q7Z769	Q7Z769_Q8WWF3
Q8IXX5	A8MVS5	A8MVS5_Q8IXX5
Q8N2K0	O60656	O60656_Q8N2K0
Q5SWX8	P01889	P01889_Q5SWX8
Q9NY72	Q8WV19	Q8WV19_Q9NY72
Q8TCJ2	Q14416	Q14416_Q8TCJ2
Q9H300	P08574	P08574_Q9H300
O43752	A2RU67	A2RU67_O43752
Q8WVX3	Q8N5M9	Q8N5M9_Q8WVX3
Q9BWH2	Q5JX71	Q5JX71_Q9BWH2
Q12846	O14828	O14828_Q12846
Q9UIQ6	Q8N144	Q8N144_Q9UIQ6
Q99643	P05141	P05141_Q99643
P08648	O15218	O15218_P08648
Q92545	Q6ZMZ3	Q6ZMZ3_Q92545
Q9Y320	Q6PI78	Q6PI78_Q9Y320
Q6P1J6	Q5SUL5	Q5SUL5_Q6P1J6
P03915	O43674	O43674_P03915
Q9Y2U8	P78310	P78310_Q9Y2U8
Q9NR77	Q96DZ9	Q96DZ9_Q9NR77
Q8TBR7	Q14318	Q14318_Q8TBR7
Q16625	O15155	O15155_Q16625
Q9H0R3	P43628	P43628_Q9H0R3
Q9Y6K0	Q9NUH8	Q9NUH8_Q9Y6K0
P30926	O60266	O60266_P30926
Q86T26	P15151	P15151_Q86T26
Q15256	P21802	P21802_Q15256
Q401N2	P53794	P53794_Q401N2
Q9UGP8	O94901	O94901_Q9UGP8
Q9UKV5	P08684	P08684_Q9UKV5
Q86VZ1	P33121	P33121_Q86VZ1
Q9NUE0	Q53RY4	Q53RY4_Q9NUE0
Q9NTJ5	O95292	O95292_Q9NTJ5
Q86UK5	Q16850	Q16850_Q86UK5
Q14574	P06213	P06213_Q14574
Q8WXI8	P05556	P05556_Q8WXI8
Q9P0J0	P00156	P00156_Q9P0J0
Q92685	P11912	P11912_Q92685
P09958	P05067	P05067_P09958
Q9P2W7	Q9HCU5	Q9HCU5_Q9P2W7
Q9UJS0	P16615	P16615_Q9UJS0
Q16655	P01911	P01911_Q16655
Q6ZNB6	P04843	P04843_Q6ZNB6
P45880	O43772	O43772_P45880
Q9HCU4	Q6UWB1	Q6UWB1_Q9HCU4
Q9H9B4	Q96H96	Q96H96_Q9H9B4
Q9Y5M8	Q9BYF1	Q9BYF1_Q9Y5M8
Q5JPE7	O43493	O43493_Q5JPE7
Q96G97	Q6ZMG9	Q6ZMG9_Q96G97
Q9NZ01	Q86T26	Q86T26_Q9NZ01
Q92478	Q04721	Q04721_Q92478
P27824	P00533	P00533_P27824
Q9P0I2	Q15077	Q15077_Q9P0I2
P01135	O15121	O15121_P01135
Q96RQ1	P11717	P11717_Q96RQ1
Q9P2W7	Q14318	Q14318_Q9P2W7
Q12866	O00483	O00483_Q12866
Q9H313	Q12981	Q12981_Q9H313
Q9UKF2	P98153	P98153_Q9UKF2
Q5VZI3	P04035	P04035_Q5VZI3
Q8WXA8	Q8TB61	Q8TB61_Q8WXA8
Q15392	O43759	O43759_Q15392
Q6UXM1	P17302	P17302_Q6UXM1
Q9HD20	P43220	P43220_Q9HD20
Q9Y6X1	Q96KR6	Q96KR6_Q9Y6X1
Q13505	P21462	P21462_Q13505
Q96AG3	Q4U2R8	Q4U2R8_Q96AG3
Q9GZM5	O14681	O14681_Q9GZM5
Q9NPC1	Q5BJH7	Q5BJH7_Q9NPC1
Q9UIW2	P01903	P01903_Q9UIW2
Q8IY26	Q0VAQ4	Q0VAQ4_Q8IY26
Q6P4E1	P05067	P05067_Q6P4E1
Q9HBU9	Q86SJ6	Q86SJ6_Q9HBU9
Q9NY35	P25024	P25024_Q9NY35
Q9Y6D0	Q9Y320	Q9Y320_Q9Y6D0
Q9BZ76	Q92187	Q92187_Q9BZ76
Q969M3	P41231	P41231_Q969M3
Q9NRS4	O95185	O95185_Q9NRS4
Q14574	P27487	P27487_Q14574
Q13241	P30989	P30989_Q13241
P03897	P03886	P03886_P03897
Q9HCP6	P35348	P35348_Q9HCP6
P29317	P11717	P11717_P29317
Q15526	P28845	P28845_Q15526
O60831	O60831	O60831_O60831
P23634	A8MVS5	A8MVS5_P23634
Q9NS66	P27338	P27338_Q9NS66
Q9UQV4	Q92692	Q92692_Q9UQV4
Q9BXP2	Q5VZI3	Q5VZI3_Q9BXP2
Q9NUE0	P16410	P16410_Q9NUE0
Q9HC24	P58511	P58511_Q9HC24
Q9NY72	Q9NRZ5	Q9NRZ5_Q9NY72
Q96T55	Q96GF1	Q96GF1_Q96T55
Q86WV6	P43308	P43308_Q86WV6
Q8N695	P30536	P30536_Q8N695
Q9H1C4	O43759	O43759_Q9H1C4
Q9H1X3	O75787	O75787_Q9H1X3
P19438	O43493	O43493_P19438
P13612	P11166	P11166_P13612
Q9Y5F7	Q9UP95	Q9UP95_Q9Y5F7
Q15392	O00264	O00264_Q15392
Q15262	P10912	P10912_Q15262
Q9H5K3	O60512	O60512_Q9H5K3
Q8N6L0	Q86Y82	Q86Y82_Q8N6L0
Q6UWJ1	P19075	P19075_Q6UWJ1
Q5K4L6	Q12879	Q12879_Q5K4L6
Q9Y3E0	Q969M3	Q969M3_Q9Y3E0
Q13433	P13473	P13473_Q13433
Q9ULT6	Q68DV7	Q68DV7_Q9ULT6
Q7KZN9	O94905	O94905_Q7KZN9
Q6P5W5	P21453	P21453_Q6P5W5
Q8WVQ1	Q8IUC8	Q8IUC8_Q8WVQ1
Q9NY72	O75110	O75110_Q9NY72
Q9NYP7	Q15125	Q15125_Q9NYP7
Q9NYP7	O94898	O94898_Q9NYP7
Q6N075	O43561	O43561_Q6N075
P04439	O15533	O15533_P04439
Q8IY17	P04629	P04629_Q8IY17
P43307	O15031	O15031_P43307
Q9BYE9	Q8N394	Q8N394_Q9BYE9
P51571	P34972	P34972_P51571
Q9P0N5	Q4KMQ2	Q4KMQ2_Q9P0N5
P62079	P49810	P49810_P62079
P54219	O95167	O95167_P54219
Q96AG4	Q70UQ0	Q70UQ0_Q96AG4
Q9UHW9	O94777	O94777_Q9UHW9
Q6P5W5	Q6P1S2	Q6P1S2_Q6P5W5
O95070	O76024	O76024_O95070
Q96FV3	P36894	P36894_Q96FV3
P48051	A2RU14	A2RU14_P48051
Q8TCC7	Q6DD88	Q6DD88_Q8TCC7
Q8N511	P42167	P42167_Q8N511
Q9NZJ7	Q92667	Q92667_Q9NZJ7
Q9NUH8	O60831	O60831_Q9NUH8
Q8N697	P14416	P14416_Q8N697
O75396	E9PCW1	E9PCW1_O75396
Q6KCM7	O75746	O75746_Q6KCM7
P60468	P02786	P02786_P60468
Q15262	P49641	P49641_Q15262
Q8N6F1	P48165	P48165_Q8N6F1
Q9P2E9	O14983	O14983_Q9P2E9
P04843	O75503	O75503_P04843
Q3MIR4	P55082	P55082_Q3MIR4
Q6ZMH5	P04439	P04439_Q6ZMH5
Q16706	P01906	P01906_Q16706
Q9BUN8	O14653	O14653_Q9BUN8
Q9NRS4	Q96AG4	Q96AG4_Q9NRS4
Q9BWH2	Q96RQ1	Q96RQ1_Q9BWH2
Q9P2W7	P08195	P08195_Q9P2W7
Q4KMG0	P55291	P55291_Q4KMG0
P16422	O95471	O95471_P16422
Q9H0U3	Q6UX01	Q6UX01_Q9H0U3
Q96HS1	P13073	P13073_Q96HS1
Q4G148	P16234	P16234_Q4G148
Q5T8D3	P51648	P51648_Q5T8D3
Q9NR77	P48651	P48651_Q9NR77
Q13241	P36897	P36897_Q13241
Q9NQQ7	Q96GQ5	Q96GQ5_Q9NQQ7
Q6ZP80	A2RU14	A2RU14_Q6ZP80
Q99720	O00590	O00590_Q99720
P04844	P04629	P04629_P04844
Q13641	P01903	P01903_Q13641
Q06418	P54709	P54709_Q06418
Q9ULF5	P43121	P43121_Q9ULF5
Q96S52	P62079	P62079_Q96S52
Q9UQV4	Q9UBH6	Q9UBH6_Q9UQV4
O95977	O15118	O15118_O95977
Q96HH4	P98172	P98172_Q96HH4
P19075	O75027	O75027_P19075
P22001	O94991	O94991_P22001
Q9NP78	Q6P9F7	Q6P9F7_Q9NP78
Q8N3Y7	P12236	P12236_Q8N3Y7
Q9ULC8	A0A0R4J2F2	A0A0R4J2F2_Q9ULC8
Q9NQ34	P30530	P30530_Q9NQ34
Q8NGA1	Q8IYS2	Q8IYS2_Q8NGA1
Q8TDT2	Q6ZPD8	Q6ZPD8_Q8TDT2
P24390	O15260	O15260_P24390
Q9UHW9	Q9NPA1	Q9NPA1_Q9UHW9
Q8TCT7	O43731	O43731_Q8TCT7
P10415	O95197	O95197_P10415
Q92633	Q15392	Q15392_Q92633
Q9H6U8	Q86WS5	Q86WS5_Q9H6U8
Q8NHS3	P16871	P16871_Q8NHS3
Q9UPQ8	O94886	O94886_Q9UPQ8
Q9Y6D0	Q9H6H4	Q9H6H4_Q9Y6D0
Q96G97	P08247	P08247_Q96G97
Q96AN5	O60503	O60503_Q96AN5
Q96HA1	Q30201	Q30201_Q96HA1
Q13433	P01903	P01903_Q13433
Q9UGP8	Q8N4V1	Q8N4V1_Q9UGP8
Q9H2F3	P51648	P51648_Q9H2F3
P00395	O95169	O95169_P00395
Q8WXI8	P45880	P45880_Q8WXI8
Q92838	P30926	P30926_Q92838
Q96GC9	Q13586	Q13586_Q96GC9
Q9H2A9	P55061	P55061_Q9H2A9
Q7Z2K6	P03372	P03372_Q7Z2K6
Q9Y2A9	Q8NI60	Q8NI60_Q9Y2A9
Q9NYP7	P51572	P51572_Q9NYP7
Q99437	Q14973	Q14973_Q99437
Q71RG4	Q13651	Q13651_Q71RG4
P48051	O60725	O60725_P48051
P32856	P30301	P30301_P32856
Q14943	P30511	P30511_Q14943
Q13224	P08581	P08581_Q13224
Q9UHQ9	P30825	P30825_Q9UHQ9
Q9BXK5	Q92667	Q92667_Q9BXK5
Q9Y5G2	Q9Y5F9	Q9Y5F9_Q9Y5G2
Q8N4V1	P07949	P07949_Q8N4V1
Q8N112	A2RU14	A2RU14_Q8N112
Q92932	Q13586	Q13586_Q92932
Q8WXH2	P29323	P29323_Q8WXH2
Q9P0L0	Q9P0L0	Q9P0L0_Q9P0L0
Q92633	O43676	O43676_Q92633
Q99442	O95470	O95470_Q99442
Q9HAW7	Q13586	Q13586_Q9HAW7
Q5SR56	O95214	O95214_Q5SR56
Q9Y6M5	P43121	P43121_Q9Y6M5
Q8IXM6	O94901	O94901_Q8IXM6
Q9H0U3	Q5JTV8	Q5JTV8_Q9H0U3
Q92187	Q86VZ4	Q86VZ4_Q92187
Q9BSJ8	Q96TC7	Q96TC7_Q9BSJ8
Q9H1X3	B7ZAQ6	B7ZAQ6_Q9H1X3
Q9NUM4	P42892	P42892_Q9NUM4
Q92859	Q86UE4	Q86UE4_Q92859
Q8WVX3	P43220	P43220_Q8WVX3
Q5T4S7	P48039	P48039_Q5T4S7
Q9BWL3	Q8NET8	Q8NET8_Q9BWL3
Q6ZMZ0	Q6N075	Q6N075_Q6ZMZ0
Q9HAW9	P35503	P35503_Q9HAW9
P21730	O60637	O60637_P21730
Q15077	P05026	P05026_Q15077
Q8TD22	Q15125	Q15125_Q8TD22
Q9UBL9	P32297	P32297_Q9UBL9
Q96GF1	Q8NBM4	Q8NBM4_Q96GF1
Q86W74	Q13520	Q13520_Q86W74
Q01814	P28335	P28335_Q01814
Q8WUM9	O43759	O43759_Q8WUM9
Q14BN4	O75578	O75578_Q14BN4
Q9UM73	P51648	P51648_Q9UM73
P48230	P08034	P08034_P48230
P22732	O75844	O75844_P22732
Q9BXB1	P04440	P04440_Q9BXB1
P16435	P00403	P00403_P16435
Q86SQ4	P32971	P32971_Q86SQ4
Q9UBH6	Q6ZMZ0	Q6ZMZ0_Q9UBH6
Q9UBL9	Q9BXS9	Q9BXS9_Q9UBL9
P51571	P19438	P19438_P51571
Q9UBQ6	O43493	O43493_Q9UBQ6
Q9UBU6	P43119	P43119_Q9UBU6
Q9NWD8	Q8TB61	Q8TB61_Q9NWD8
P0CG08	O94886	O94886_P0CG08
Q9Y282	P51679	P51679_Q9Y282
Q8TE23	P36383	P36383_Q8TE23
Q86TM6	O60858	O60858_Q86TM6
Q9Y5Y0	O14983	O14983_Q9Y5Y0
Q8TEB9	Q7Z7M8	Q7Z7M8_Q8TEB9
Q9UMR7	P27449	P27449_Q9UMR7
P42262	P42261	P42261_P42262
Q5BVD1	P81408	P81408_Q5BVD1
Q8IV08	O15127	O15127_Q8IV08
Q92536	P04201	P04201_Q92536
Q9BXM7	Q12983	Q12983_Q9BXM7
Q9Y5U4	P54219	P54219_Q9Y5U4
P26012	O75783	O75783_P26012
Q9ULH0	O15155	O15155_Q9ULH0
Q8IZF4	Q7Z4F1	Q7Z4F1_Q8IZF4
Q9H6D3	Q8IZF4	Q8IZF4_Q9H6D3
Q8TAB3	Q01628	Q01628_Q8TAB3
Q96A33	A0FGR8	A0FGR8_Q96A33
P27701	P20701	P20701_P27701
Q969Z4	Q8NC24	Q8NC24_Q969Z4
Q9HCN3	Q96A25	Q96A25_Q9HCN3
Q9BQT9	P21145	P21145_Q9BQT9
Q9UP95	Q5TZ20	Q5TZ20_Q9UP95
Q9GZM5	O75110	O75110_Q9GZM5
Q9Y3P4	Q8NAU1	Q8NAU1_Q9Y3P4
Q9UBU6	Q9GZM5	Q9GZM5_Q9UBU6
Q6NXT4	P41231	P41231_Q6NXT4
Q9Y6C9	P03372	P03372_Q9Y6C9
O60858	O43493	O43493_O60858
P00167	O43676	O43676_P00167
Q09428	O60706	O60706_Q09428
Q8N0U8	Q53R12	Q53R12_Q8N0U8
Q9HBM0	Q96BA8	Q96BA8_Q9HBM0
Q8N743	Q8N2H4	Q8N2H4_Q8N743
Q9BTX1	P06213	P06213_Q9BTX1
Q9UHW9	Q9NXW2	Q9NXW2_Q9UHW9
Q5BJF2	O95377	O95377_Q5BJF2
Q9UM73	O14681	O14681_Q9UM73
P11166	O15162	O15162_P11166
Q7Z7B1	Q5T9L3	Q5T9L3_Q7Z7B1
P32004	P11362	P11362_P32004
P41231	P33151	P33151_P41231
Q86X52	P20036	P20036_Q86X52
Q7Z2K6	P05981	P05981_Q7Z2K6
Q53GQ0	P04629	P04629_Q53GQ0
Q2TAA5	Q16586	Q16586_Q2TAA5
Q9UMF0	Q13635	Q13635_Q9UMF0
Q9BUN8	Q5SNT2	Q5SNT2_Q9BUN8
Q8TAD4	Q8N144	Q8N144_Q8TAD4
Q8WXH2	Q7Z403	Q7Z403_Q8WXH2
Q13948	O43752	O43752_Q13948
Q9Y6I9	Q96TC7	Q96TC7_Q9Y6I9
Q9NS69	P00403	P00403_Q9NS69
Q9P0J0	O95168	O95168_Q9P0J0
Q9Y342	O15393	O15393_Q9Y342
Q8NC42	P05026	P05026_Q8NC42
Q12913	P36888	P36888_Q12913
Q9NZJ5	P61803	P61803_Q9NZJ5
Q9BWH2	Q92667	Q92667_Q9BWH2
Q9UQV4	P50402	P50402_Q9UQV4
Q9P0L0	O95183	O95183_Q9P0L0
P04920	P03372	P03372_P04920
Q99706	P54707	P54707_Q99706
Q9NQZ7	Q8NCG7	Q8NCG7_Q9NQZ7
P43626	P01889	P01889_P43626
Q9Y4D2	O75841	O75841_Q9Y4D2
O15439	A0A286YF54	A0A286YF54_O15439
Q8WXA8	Q86X29	Q86X29_Q8WXA8
Q9P0L0	O95214	O95214_Q9P0L0
Q9NQ34	P36896	P36896_Q9NQ34
Q9UI14	P07949	P07949_Q9UI14
P05023	O95169	O95169_P05023
Q01628	O00592	O00592_Q01628
P48029	O14967	O14967_P48029
P40189	P00533	P00533_P40189
Q86W74	P54219	P54219_Q86W74
